season_year,player_id,player_name,nickname,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,video_available_flag
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600251,2016-11-27T00:00:00,POR vs. HOU,L,29.033333333333335,2,5,0.4,2,3,0.667,0,0,0.0,0,5,5,0,2,1,0,0,2,1,6,-15,13.0,0,0,15.0,1,40,40,40,38,53,69,47,19,41,12,43,46,43,18,6,7,49,6,12,18,1,30,26,58,69,57,1,1,45,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600237,2016-11-25T00:00:00,POR vs. NOP,W,18.088333333333335,2,6,0.333,0,3,0.0,0,0,0.0,0,1,1,0,3,0,1,0,3,0,4,-17,5.2,0,0,7.0,1,1,1,1,78,53,60,57,62,41,62,43,46,43,18,56,58,49,1,41,4,1,47,58,70,74,76,1,1,74,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600215,2016-11-23T00:00:00,POR @ CLE,L,23.65,1,6,0.167,0,2,0.0,0,0,0.0,1,4,5,2,0,0,0,0,0,0,2,-6,11.0,0,0,9.0,1,40,40,40,65,71,60,75,62,60,62,43,46,43,3,15,7,13,44,41,18,1,1,58,77,48,63,1,1,67,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600208,2016-11-22T00:00:00,POR @ NYK,L,23.33,1,7,0.143,1,3,0.333,4,5,0.8,1,2,3,0,0,0,0,1,1,2,7,-8,10.6,0,0,11.0,1,40,40,40,67,71,49,77,37,41,41,5,3,28,3,38,27,49,44,41,18,66,12,11,53,59,64,1,1,63,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600194,2016-11-20T00:00:00,POR @ BKN,W,29.95,5,10,0.5,4,7,0.571,0,0,0.0,1,1,2,0,0,0,0,0,1,1,14,6,16.4,0,0,20.0,1,1,1,1,31,14,15,29,5,5,22,43,46,43,3,56,43,49,44,41,18,1,12,26,18,22,41,1,1,28,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600177,2016-11-18T00:00:00,POR @ NOP,L,26.968333333333334,3,6,0.5,0,3,0.0,3,5,0.6,0,2,2,0,1,0,1,0,1,2,9,-5,13.4,0,0,13.0,1,40,40,40,48,46,60,29,62,41,62,11,3,33,18,38,43,49,15,41,4,1,12,11,42,46,54,1,1,55,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600171,2016-11-17T00:00:00,POR @ HOU,L,19.783333333333335,1,5,0.2,1,3,0.333,2,2,1.0,0,1,1,1,1,1,0,0,1,1,5,-11,9.7,0,0,10.0,1,40,40,40,76,71,69,74,37,41,41,15,17,1,18,56,58,28,15,12,18,1,12,26,63,63,65,1,1,65,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600156,2016-11-15T00:00:00,POR vs. CHI,L,33.2,6,12,0.5,3,7,0.429,0,0,0.0,1,3,4,1,0,1,1,0,1,0,15,-6,27.3,0,0,27.0,1,40,40,40,15,10,3,29,12,5,36,43,46,43,3,22,19,28,44,12,4,1,12,58,16,48,11,1,1,13,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600144,2016-11-13T00:00:00,POR vs. DEN,W,30.951666666666668,2,8,0.25,0,3,0.0,0,0,0.0,0,2,2,0,0,0,1,0,3,0,4,-11,9.4,0,0,8.0,1,1,1,1,27,53,36,67,62,41,62,43,46,43,18,38,43,49,44,41,4,1,47,58,70,63,66,1,1,69,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600128,2016-11-11T00:00:00,POR vs. SAC,W,37.44,6,10,0.6,2,5,0.4,2,3,0.667,1,6,7,4,0,1,0,0,1,2,16,1,33.4,0,0,31.0,1,1,1,1,4,10,15,15,19,15,37,15,14,31,3,2,2,3,44,12,18,1,12,11,13,29,5,1,1,7,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600115,2016-11-09T00:00:00,POR @ LAC,L,22.75,4,6,0.667,1,2,0.5,0,0,0.0,0,2,2,1,1,0,0,0,0,0,9,-15,11.9,0,0,13.0,1,40,40,40,70,26,60,6,37,60,23,43,46,43,18,38,43,28,15,41,18,1,1,58,42,69,62,1,1,55,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600103,2016-11-08T00:00:00,POR vs. PHX,W,31.578333333333333,2,6,0.333,1,3,0.333,0,1,0.0,0,1,1,1,1,0,0,0,5,1,5,-6,6.7,0,0,8.0,1,1,1,1,23,53,60,57,37,41,41,43,39,43,18,56,58,28,15,41,18,1,75,26,63,48,74,1,1,69,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600088,2016-11-06T00:00:00,POR @ MEM,W,26.766666666666666,2,4,0.5,2,2,1.0,0,0,0.0,0,3,3,0,1,0,0,0,3,0,6,-4,8.6,0,0,11.0,1,1,1,1,49,53,73,29,19,60,1,43,46,43,18,22,27,49,15,41,18,1,47,58,58,42,67,1,1,63,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600076,2016-11-04T00:00:00,POR @ DAL,W,32.93333333333333,2,9,0.222,0,5,0.0,0,0,0.0,0,6,6,3,3,3,1,0,2,0,4,-7,24.7,0,0,21.0,1,1,1,1,16,53,28,71,62,15,62,43,46,43,18,2,3,6,1,2,4,1,30,58,70,53,15,1,1,26,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600063,2016-11-02T00:00:00,POR @ PHX,L,37.486666666666665,5,9,0.556,2,5,0.4,2,2,1.0,0,1,1,3,0,1,0,0,4,1,14,-7,22.7,0,0,22.0,1,40,40,40,3,14,28,25,19,15,37,15,17,1,18,56,58,6,44,12,18,1,65,26,18,53,22,1,1,20,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600054,2016-11-01T00:00:00,POR vs. GSW,L,20.066666666666666,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,1,1,0,0,2,1,2,-33,5.2,0,0,5.0,1,40,40,40,75,71,79,29,62,72,62,43,46,43,3,74,58,49,15,12,18,1,30,26,77,79,76,1,1,77,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600033,2016-10-29T00:00:00,POR @ DEN,W,28.876666666666665,4,10,0.4,1,4,0.25,3,3,1.0,0,3,3,4,1,1,0,0,3,2,12,18,23.6,0,0,22.0,1,1,1,1,41,26,15,47,37,28,53,11,14,1,18,22,27,3,15,12,18,1,47,11,27,3,20,1,1,20,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600017,2016-10-27T00:00:00,POR vs. LAC,L,31.583333333333332,3,7,0.429,0,2,0.0,4,4,1.0,0,1,1,4,0,0,0,0,4,3,10,-7,17.2,0,0,15.0,1,40,40,40,22,46,49,46,62,60,62,5,7,1,18,56,58,3,44,41,18,1,65,5,36,53,38,1,1,45,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600002,2016-10-25T00:00:00,POR vs. UTA,W,29.155,6,10,0.6,4,5,0.8,2,2,1.0,0,3,3,3,2,0,0,0,2,1,18,14,24.1,0,0,28.0,1,1,1,1,37,10,15,15,5,15,7,15,17,1,18,22,27,6,6,41,18,1,30,26,7,8,18,1,1,10,1
