season_year,player_id,player_name,nickname,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,video_available_flag
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600988,2017-03-12T00:00:00,POR @ PHX,W,33.86,3,8,0.375,1,4,0.25,0,0,0.0,0,5,5,2,2,1,0,0,5,1,7,22,17.0,0,0,17.0,1,1,1,1,13,46,36,54,37,28,53,43,46,43,18,6,7,13,6,12,18,1,75,26,53,1,40,1,1,41,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600983,2017-03-11T00:00:00,POR vs. WAS,L,34.575,5,10,0.5,3,5,0.6,1,2,0.5,0,6,6,2,0,0,0,1,3,2,14,14,24.2,0,0,25.0,1,40,40,40,11,14,15,29,12,15,19,30,17,34,18,2,3,13,44,41,18,66,47,11,18,8,17,1,1,17,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600963,2017-03-09T00:00:00,POR vs. PHI,W,24.086666666666666,8,12,0.667,2,5,0.4,0,0,0.0,0,4,4,0,0,1,0,0,2,0,18,-1,25.8,0,0,26.0,1,1,1,1,63,3,3,6,19,15,37,43,46,43,18,15,19,49,44,12,18,1,30,58,7,32,13,1,1,15,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600946,2017-03-07T00:00:00,POR @ OKC,W,28.3,7,10,0.7,5,7,0.714,4,4,1.0,1,3,4,2,1,0,0,0,3,2,23,15,29.8,0,0,34.0,1,1,1,1,43,6,15,5,3,5,11,5,7,1,3,22,19,13,15,41,18,1,47,11,4,6,9,1,1,4,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600926,2017-03-04T00:00:00,POR vs. BKN,W,18.9,2,3,0.667,1,2,0.5,3,4,0.75,0,3,3,1,0,0,0,0,1,2,8,2,13.1,0,0,13.0,1,1,1,1,77,53,76,6,37,60,23,11,7,29,18,22,27,28,44,41,18,1,12,11,49,27,56,1,1,55,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600908,2017-03-02T00:00:00,POR vs. OKC,W,24.29,4,8,0.5,2,4,0.5,1,1,1.0,0,1,1,0,1,1,0,0,1,4,11,-12,14.2,0,0,16.0,1,1,1,1,62,26,36,29,19,28,23,30,39,1,18,56,58,49,15,12,18,1,12,1,31,65,52,1,1,44,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600890,2017-02-28T00:00:00,POR @ DET,L,35.083333333333336,5,7,0.714,2,2,1.0,1,2,0.5,0,1,1,0,0,2,0,0,4,1,13,-23,20.2,0,0,20.0,1,40,40,40,9,14,49,4,19,60,1,30,17,34,18,56,58,49,44,3,18,1,65,26,24,78,29,1,1,28,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600878,2017-02-26T00:00:00,POR @ TOR,L,31.005,2,6,0.333,0,1,0.0,5,5,1.0,1,2,3,1,0,0,1,0,0,3,9,2,17.1,0,0,15.0,1,40,40,40,26,53,60,57,62,72,62,3,3,1,3,38,27,28,44,41,4,1,1,5,42,27,39,1,1,45,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600850,2017-02-23T00:00:00,POR @ ORL,W,24.871666666666666,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,0,2,0,0,0,1,0,4,-3,3.2,0,0,5.0,1,1,1,1,57,53,76,6,62,78,62,43,46,43,18,56,58,49,6,41,18,1,12,58,70,40,78,1,1,77,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600843,2017-02-15T00:00:00,POR @ UTA,L,26.383333333333333,2,8,0.25,1,3,0.333,0,0,0.0,0,1,1,0,3,1,0,0,2,1,5,-8,6.2,0,0,9.0,1,40,40,40,51,53,36,67,37,41,41,43,46,43,18,56,58,49,1,12,18,1,30,26,63,59,75,1,1,67,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600830,2017-02-13T00:00:00,POR vs. ATL,L,30.596666666666668,2,5,0.4,1,2,0.5,1,2,0.5,0,3,3,2,1,1,0,0,3,2,6,-2,14.6,0,0,14.0,1,40,40,40,28,53,69,47,37,60,23,30,17,34,18,22,27,13,15,12,18,1,47,11,58,35,50,1,1,51,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600798,2017-02-09T00:00:00,POR vs. BOS,L,29.491666666666667,5,8,0.625,2,3,0.667,0,0,0.0,0,3,3,2,0,1,0,0,4,1,12,-6,21.6,0,0,21.0,1,40,40,40,34,14,36,14,19,41,12,43,46,43,18,22,27,13,44,12,18,1,65,26,27,48,27,1,1,26,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600781,2017-02-07T00:00:00,POR @ DAL,W,21.663333333333334,1,6,0.167,0,4,0.0,2,2,1.0,0,0,0,0,1,0,0,0,5,1,4,-12,3.0,0,0,4.0,1,1,1,1,72,71,60,75,62,28,62,15,17,1,18,74,75,49,15,41,18,1,75,26,70,65,79,1,1,79,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600767,2017-02-05T00:00:00,POR @ OKC,L,29.5,4,10,0.4,2,7,0.286,0,0,0.0,0,1,1,2,1,0,0,0,3,0,10,7,13.2,0,0,15.0,1,40,40,40,33,26,15,47,19,5,52,43,46,43,18,56,58,13,15,41,18,1,47,58,36,20,55,1,1,45,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600754,2017-02-03T00:00:00,POR vs. DAL,L,23.066666666666666,1,4,0.25,1,1,1.0,2,2,1.0,0,0,0,0,0,1,0,0,5,2,5,-4,8.0,0,0,8.0,1,40,40,40,68,71,73,67,37,72,1,15,17,1,18,74,75,49,44,12,18,1,75,11,63,42,71,1,1,69,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600728,2017-01-31T00:00:00,POR vs. CHA,W,29.0,5,10,0.5,3,6,0.5,8,8,1.0,0,5,5,0,0,0,1,0,0,4,21,17,30.0,0,0,31.0,1,1,1,1,39,14,15,29,12,9,23,1,1,1,18,6,7,49,44,41,4,1,1,1,6,5,8,1,1,7,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600718,2017-01-29T00:00:00,POR vs. GSW,L,22.268333333333334,4,7,0.571,0,1,0.0,0,0,0.0,0,0,0,1,1,2,0,0,4,1,8,-7,14.5,0,0,13.0,1,40,40,40,71,26,49,18,62,72,62,43,46,43,18,74,75,28,15,3,18,1,65,26,49,53,51,1,1,55,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600703,2017-01-27T00:00:00,POR vs. MEM,W,28.516666666666666,8,12,0.667,6,8,0.75,1,1,1.0,0,2,2,0,0,0,0,0,4,1,23,6,25.4,0,0,31.0,1,1,1,1,42,3,3,6,2,2,9,30,39,1,18,38,43,49,44,41,18,1,65,26,4,22,14,1,1,7,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600689,2017-01-25T00:00:00,POR vs. LAL,W,27.783333333333335,6,9,0.667,0,1,0.0,0,0,0.0,0,4,4,1,3,0,0,2,1,1,12,-16,15.3,0,0,17.0,1,1,1,1,45,10,28,6,62,72,62,43,46,43,18,15,19,28,1,41,18,78,12,26,27,72,47,1,1,41,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600650,2017-01-21T00:00:00,POR @ BOS,W,23.495,3,10,0.3,0,2,0.0,0,0,0.0,0,2,2,3,0,2,0,0,1,0,6,-17,18.9,0,0,15.0,1,1,1,1,66,46,15,63,62,60,62,43,46,43,18,38,43,6,44,3,18,1,12,58,58,74,32,1,1,45,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600641,2017-01-20T00:00:00,POR @ PHI,L,25.066666666666666,1,3,0.333,0,0,0.0,2,2,1.0,0,1,1,2,0,0,0,1,0,2,4,-2,8.2,0,0,7.0,1,40,40,40,56,71,76,57,62,78,62,15,17,1,18,56,58,13,44,41,18,66,1,11,70,35,70,1,1,74,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600629,2017-01-18T00:00:00,POR @ CHA,L,17.695,2,7,0.286,1,3,0.333,0,0,0.0,0,0,0,0,0,1,0,0,2,0,5,-17,8.0,0,0,8.0,1,40,40,40,79,53,49,65,37,41,41,43,46,43,18,74,75,49,44,12,18,1,30,58,63,74,71,1,1,69,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600614,2017-01-16T00:00:00,POR @ WAS,L,24.783333333333335,2,6,0.333,1,3,0.333,0,1,0.0,1,2,3,5,1,0,0,0,4,1,5,-1,15.1,0,0,14.0,1,40,40,40,59,53,60,57,37,41,41,43,39,43,3,38,27,1,15,41,18,1,65,26,63,32,49,1,1,51,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600598,2017-01-13T00:00:00,POR vs. ORL,L,32.86833333333333,3,10,0.3,1,5,0.2,0,0,0.0,0,3,3,2,1,1,0,0,1,0,7,-10,15.6,0,0,15.0,1,40,40,40,17,46,15,63,37,15,58,43,46,43,18,22,27,13,15,12,18,1,12,58,53,61,46,1,1,45,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600585,2017-01-11T00:00:00,POR vs. CLE,W,30.5,9,11,0.818,3,5,0.6,3,4,0.75,0,4,4,1,0,1,0,0,1,4,24,10,33.3,0,0,34.0,1,1,1,1,29,2,8,1,12,15,19,11,7,29,18,15,19,28,44,12,18,1,12,1,3,16,6,1,1,4,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600577,2017-01-10T00:00:00,POR @ LAL,W,26.283333333333335,4,8,0.5,1,3,0.333,0,0,0.0,0,1,1,0,1,1,0,0,2,0,9,4,12.2,0,0,13.0,1,1,1,1,52,26,36,29,37,41,41,43,46,43,18,56,58,49,15,12,18,1,30,58,42,26,61,1,1,55,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600559,2017-01-08T00:00:00,POR vs. DET,L,42.56666666666667,12,15,0.8,5,5,1.0,1,1,1.0,0,1,1,1,2,1,0,0,3,2,30,-7,33.7,0,0,39.0,1,40,40,40,1,1,1,2,3,15,1,30,39,1,18,56,58,28,6,12,18,1,47,11,1,53,4,1,1,2,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600542,2017-01-05T00:00:00,POR vs. LAL,W,25.55,4,10,0.4,2,5,0.4,4,4,1.0,2,2,4,0,0,0,0,0,0,2,14,-13,18.8,0,0,20.0,1,1,1,1,55,26,15,47,19,15,37,5,7,1,1,38,19,49,44,41,18,1,1,11,18,67,34,1,1,28,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600534,2017-01-04T00:00:00,POR @ GSW,L,36.36666666666667,4,11,0.364,2,4,0.5,8,8,1.0,0,3,3,5,1,0,0,1,2,3,18,-4,28.1,0,0,28.0,1,40,40,40,6,26,8,55,19,28,23,1,1,1,18,22,27,1,15,41,18,66,30,5,7,42,10,1,1,10,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600511,2017-01-01T00:00:00,POR @ MIN,W,40.06666666666667,4,10,0.4,1,5,0.2,1,2,0.5,0,8,8,1,2,0,1,1,3,1,10,14,22.1,0,0,22.0,1,1,1,1,2,26,15,47,37,15,58,30,17,34,18,1,1,28,6,41,4,66,47,26,36,8,25,1,1,20,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600499,2016-12-30T00:00:00,POR @ SAS,L,33.37166666666667,5,9,0.556,1,2,0.5,0,0,0.0,0,1,1,1,1,2,0,0,1,0,11,-10,18.7,0,0,18.0,1,40,40,40,14,14,28,25,37,60,23,43,46,43,18,56,58,28,15,3,18,1,12,58,31,61,35,1,1,36,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600484,2016-12-28T00:00:00,POR vs. SAC,W,32.71666666666667,4,8,0.5,3,4,0.75,2,2,1.0,0,2,2,2,1,2,1,1,2,1,13,12,26.4,0,0,26.0,1,1,1,1,18,26,36,29,12,28,9,15,17,1,18,38,43,13,15,3,4,66,30,26,24,14,12,1,1,15,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600469,2016-12-26T00:00:00,POR vs. TOR,L,35.31333333333333,3,11,0.273,0,3,0.0,1,2,0.5,0,5,5,0,0,1,0,0,2,1,7,-3,16.0,0,0,14.0,1,40,40,40,8,46,8,66,62,41,62,30,17,34,18,6,7,49,44,12,18,1,30,26,53,40,44,1,1,51,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600454,2016-12-23T00:00:00,POR vs. SAS,L,30.216666666666665,4,7,0.571,2,3,0.667,0,0,0.0,0,1,1,2,2,1,0,1,2,0,10,-15,15.2,0,0,17.0,1,40,40,40,30,26,49,18,19,41,12,43,46,43,18,56,58,13,6,12,18,66,30,58,36,69,48,1,1,41,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600436,2016-12-21T00:00:00,POR vs. DAL,L,36.55,5,9,0.556,4,6,0.667,0,0,0.0,0,6,6,1,1,0,0,0,2,1,14,5,21.7,0,0,25.0,1,40,40,40,5,14,28,25,5,9,12,43,46,43,18,2,3,28,15,41,18,1,30,26,18,25,26,1,1,17,1
2016-17,203459,Allen Crabbe,Allen,1610612757,POR,Portland Trail Blazers,0021600428,2016-12-20T00:00:00,POR @ SAC,L,35.68333333333333,4,7,0.571,0,1,0.0,1,2,0.5,0,0,0,1,2,0,0,0,2,1,9,-1,8.5,0,0,10.0,1,40,40,40,7,26,49,18,62,72,62,30,17,34,18,74,75,28,6,41,18,1,30,26,42,32,69,1,1,65,1
