FG.,percent_3pt,percent_2pt,DRB,ORB,TRB,AST,STL,PTS,MarginOfVictory,SimpleRatngSystem,ORtg,DRtg,NRtg,Pace,FTr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
1.0021518163321943,0.7745486853687581,0.5656297914761742,0.9054576310009396,-0.5085900283468853,0.3294725430688607,1.4128076991383074,0.3731890630524166,0.4244847653567876,1.317364226316276,1.3892600641436057,0.4244847653567876,-1.663739907215963,1.3312783033814737,-0.6673495270544394,-0.6584577624810907,0.6429161874406222,SAS,DAL,2014-10-28 0:00,2015,1
-1.1735725217574415,-0.4989348561033029,-1.6542849500953414,-0.3760873971502543,1.0612456187166035,0.4422198011532635,-0.6303964085746708,-0.7731254650949341,-0.970207484455415,-1.45349918211927,-1.351192142908772,-0.970207484455415,1.2319980918511704,-1.4775275625825184,-0.5817918953807915,0.086029657409589,-1.5366561789500084,LAL,HOU,2014-10-28 0:00,2015,0
0.2769103703023158,0.9406552342564184,-0.4938749715465959,0.3023776177533168,1.3091144050950498,1.1187033496596683,0.4740382442431555,-0.8877569179096698,0.3424440447795999,0.1677958950558233,0.2479526301913364,0.3424440447795999,0.1208428131393635,0.1831532778779439,-1.6940411071381964,-0.3978871655193527,-0.2911862552982194,NOP,ORL,2014-10-28 0:00,2015,1
0.1450482892059742,-0.0559840590695426,0.2629141448982399,-1.1299374137097788,0.4828851171668972,-0.5161318925641483,-0.5751746759337788,-0.085336748206524,1.1081574368333582,0.6522720124816703,0.5371130549162876,1.1081574368333582,0.2555283014680694,0.6752068602365994,-1.095137685422673,0.7932927063057327,0.5391270271363064,TOR,ATL,2014-10-29 0:00,2015,1
0.210979329754145,-0.9972545027662802,0.2629141448982399,-1.1299374137097788,-0.7564588147253316,-1.3617363281971573,-0.7408398738564531,0.602451968681886,-0.8334729501601009,-0.552543595327344,-0.6392441274874908,-0.8334729501601009,-0.0811854193536905,-0.5754293282583165,-1.9079351863223133,1.2027607872456063,-0.1355025148417458,MIA,WAS,2014-10-29 0:00,2015,1
-0.1846069135348796,0.4977044372226578,-0.1407067172056725,1.9608476541842728,0.3176392595812673,1.626066011039477,-0.0229573495248655,-1.57554563479808,0.3424440447795999,0.8987598616983293,0.9664724734472756,0.3424440447795999,-1.0913265818189704,0.9212336514159272,-0.4962342637071435,-1.8124132633116432,0.0720758057668856,POR,OKC,2014-10-29 0:00,2015,1
-0.6461241973720752,-1.4402052998000408,-0.2920645404946397,-0.4514723988062078,0.4828851171668972,-0.0087692311843436,1.191920768574743,0.4878205158671512,-0.6146976952875991,0.033927494188155,-0.0872105893762205,-0.6146976952875991,-0.8219556051615634,0.0396376496900028,0.1882267896820279,-1.5146182953553713,-1.0177103774284295,BOS,BKN,2014-10-29 0:00,2015,1
-0.382400035179392,-0.55430370573252,-0.3929697560206178,0.6793026260330791,1.9700978354375724,1.8515605272082785,-0.6303964085746708,0.3731890630524166,-0.50531006785135,0.0466768656993615,0.1559470405061247,-0.50531006785135,-0.6872701168328575,0.0396376496900028,-2.12182926550643,0.8677414482948007,-0.6025537362111667,UTA,HOU,2014-10-29 0:00,2015,0
-2.1625381299800037,-1.938524946463021,-2.2092636354882207,1.3577676409366557,-0.2607212419684404,0.8932088334908667,-0.9065050717791274,-1.8048085404275505,-1.8726554108044915,-0.6736626246838057,-0.7531558099548958,-1.8726554108044915,-1.1586693259833234,-0.6984427238479805,-1.0095800537490252,-0.1745409395521488,-2.3150748812323765,CHA,MIL,2014-10-29 0:00,2015,1
-0.052744832438538,-0.66504140499096,0.1620089293722618,-0.9791674103978718,0.2350163307884508,-0.5161318925641483,-1.2930572002653662,0.8317148743113573,-0.4506162541332236,-0.1913114025098264,-0.0828293708197818,-0.4506162541332236,-0.2495422797645705,-0.1858869088910476,0.4021208688661447,-0.8445796174537605,-0.2911862552982194,PHX,LAL,2014-10-29 0:00,2015,1
0.1450482892059742,-0.66504140499096,-0.4938749715465959,0.1516076144414151,0.3176392595812673,0.3294725430688607,-1.127392002342692,-1.2316512763538747,-0.4506162541332236,-0.7884069682846642,-0.6721032666607807,-0.4506162541332236,0.7605988827007094,-0.800953886839367,0.0171115263347381,3.3245499339340414,-0.0317133545374301,SAC,GSW,2014-10-29 0:00,2015,0
-1.635089805594637,-0.3328283072156428,-2.0074532044362647,-1.5068624219895412,0.4828851171668972,-0.7980000377751513,-0.0229573495248655,-0.5438625594654648,-1.927349224522614,-1.980473204582472,-2.080665032555808,-1.927349224522614,1.0299698593581164,-2.07209230793256,-1.7795987388118444,-1.4773939243608372,-1.7961290797107976,NYK,CHI,2014-10-29 0:00,2015,0
0.3428414108504866,-0.7757791042494001,-0.4434223637836068,0.0762226127854615,0.2350163307884508,0.2730989140266593,0.0874861157569166,1.290240685570296,-0.3412286266969708,0.6883952317634221,0.7934143404679488,-0.3412286266969708,-1.5963971630516105,0.716211325433154,-1.4373682121172588,0.086029657409589,-0.6025537362111667,MEM,MIN,2014-10-29 0:00,2015,1
-0.9098483595647584,-0.0559840590695426,-1.2506640879914317,1.6593076475604642,0.1523934019956359,1.344197865828474,-0.1886225474475399,-1.6901770876128157,-0.9428605775963538,0.059426237210568,-0.0499702316464919,-0.9428605775963538,-1.2596834422298504,0.0601398822882801,-0.9240224220753772,-0.2862140525357508,-1.0177103774284295,IND,PHI,2014-10-29 0:00,2015,1
