FG.,percent_3pt,percent_2pt,percent_FT,DRB,ORB,TRB,AST,STL,TOV,MarginOfVictory,SimpleRatngSystem,DRtg,NRtg,FTr,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
1.1222926153388917,0.8992850335780832,0.8836754549717405,0.8268829884495946,0.8428579192997466,-0.7538062130959999,0.1925978765574394,1.3352797648775472,0.2621094849786162,-0.2706257902997303,1.2596190688695377,1.3290895801583615,-1.4391547997355782,1.2674235146547874,-0.6628714708653792,-0.1460971430078542,0.9593421011460508,SAS,DAL,2014-10-28 0:00,2015,1
-1.006193379269343,-0.3880732095108791,-1.5017061412709964,-0.4287342685082621,-0.351190799708227,0.9278749668050592,0.3037120361098084,-0.6226601809798888,-0.7725332188843403,-0.9402153745464832,-1.3897867042460232,-1.2927622959700644,1.6383581578423592,-1.401861981236156,0.03002553700784,-1.147322318865878,-1.3719424648019114,LAL,HOU,2014-10-28 0:00,2015,0
0.4127972838028134,1.0672013261549045,-0.2548021250532035,-0.1067811256985552,0.2809526397665806,1.1934035741578588,0.9703969934240108,0.4356857356998064,-0.8759974892706366,-0.521721884392262,0.1604407534895389,0.2371752496524382,0.4574520229578019,0.1763287134146937,-0.4203575181097525,-0.8816911497606877,-0.0397798556887901,NOP,ORL,2014-10-28 0:00,2015,1
0.2837981326144355,0.0597035706939773,0.558396146393185,1.0522501884163895,-1.0535723991246808,0.3083082163151954,-0.6407583200853165,-0.5697428851459033,-0.1517475965665668,-1.023914072577327,0.6236804132060634,0.513821490778699,0.6005921605195687,0.6439407710890196,0.6882776944873964,0.5281973631822425,0.848328550386624,TOR,ATL,2014-10-29 0:00,2015,1
0.3482977082086244,-0.8918220872413395,0.558396146393185,-0.4287342685082621,-1.0535723991246808,-1.0193348204487995,-1.4741145167280725,-0.728494772647858,0.4690380257512068,0.9848546801629328,-0.5283234774047672,-0.6116257174394982,0.2427418166151571,-0.5445732088332254,1.0693710488176669,-0.2891293109875719,0.1267404704503499,MIA,WAS,2014-10-29 0:00,2015,1
-0.038699745356509,0.6194245459500479,0.1246904016217777,1.502984588349979,1.8261921584827807,0.1312891447466633,1.4704107114096676,-0.0405699268060556,-1.4967831115884105,-0.6054205824231059,0.8593637488513127,0.924599242754056,-0.8308092150980776,0.8777467999261825,-1.736861833068868,0.8142616991416781,0.3487675719692035,POR,OKC,2014-10-29 0:00,2015,1
-0.4901967745158315,-1.339598867446196,-0.0379492526674999,-0.0101951828556431,-0.4214289596498733,0.3083082163151954,-0.1407446020996637,1.1236105815416089,0.3655737553649115,-0.6054205824231059,0.0324403211994466,-0.0834828934711822,-0.5445289399745494,0.039941863259682,-1.4597030299195803,0.078667692388845,-0.8168747110047776,BOS,BKN,2014-10-29 0:00,2015,1
-0.2321984721390758,-0.4440453070364831,-0.1463756888603517,-1.0726405541276758,0.6321434394748076,1.90147986043199,1.6926390305144017,-0.6226601809798888,0.2621094849786162,1.5707455663788417,0.0446308385604078,0.1491514456577188,-0.4013888024127827,0.039941863259682,0.7575673952747183,-0.0439313087366272,-0.3728205079670705,UTA,HOU,2014-10-29 0:00,2015,0
-1.9736870131821769,-1.84334774517666,-2.098051540331681,-0.2033670685414672,1.26428687894962,-0.4882776057432019,0.7481686743192767,-0.8872466601498127,-1.7037116523610016,-1.9445997509166144,-0.6441333923338982,-0.7206075700043889,-0.9023792838789608,-0.6614762232518069,-0.2124884157477867,-1.0247233177404056,-2.2045440954976123,CHA,MIL,2014-10-29 0:00,2015,1
0.0902994058318687,-0.5559895020876972,0.4499697102003332,0.1829767028301809,-0.913096079241388,0.0427796089623957,-0.6407583200853165,-1.2576677309877058,0.6759665665237993,0.3989637939470239,-0.1829254855108673,-0.0792912837571479,0.0638166446629513,-0.1743803298410507,-0.836095722833684,0.3034325277855432,-0.0397798556887901,PHX,LAL,2014-10-29 0:00,2015,1
0.2837981326144355,-0.5559895020876972,-0.2548021250532035,0.2473673313921223,0.1404763198832928,0.1312891447466633,0.1925978765574394,-1.098915843485751,-1.186390300429523,1.5707455663788417,-0.7538480485825487,-0.6430627902947551,1.137367676376186,-0.7588954019339581,3.04412752125634,-1.474252988533804,0.2377540212097767,SAC,GSW,2014-10-29 0:00,2015,0
-1.4576904084286653,-0.2201569169340579,-1.8811986679459776,0.4727345313589171,-1.404763198832908,0.3083082163151954,-0.9185437189662352,-0.0405699268060556,-0.5656046781117499,0.817457284101245,-1.8936614218324184,-1.990665313356768,1.4236479514997142,-1.966893217592633,-1.4250581795259194,-0.7386589817809706,-1.6494763417004783,NYK,CHI,2014-10-29 0:00,2015,0
0.4772968593970023,-0.6679336971389113,-0.2005889069567776,0.6015157884827999,0.0702381599416464,0.0427796089623957,0.1370407967812549,0.0652646648619134,1.0898236480689805,-0.6054205824231059,0.6582202123954535,0.7590306590497028,-1.367584730954695,0.6829084425618801,0.03002553700784,-1.8829163256187116,-0.3728205079670705,MEM,MIN,2014-10-29 0:00,2015,1
-0.7481950768925871,0.0597035706939773,-1.068000396499592,0.0541954457062982,1.545239518716201,-0.0457299268218702,1.192625312528749,-0.1993218143080103,-1.6002473819747065,-0.1032283942380409,0.056821355921369,-0.047854210901891,-1.0097343870502835,0.0594256989961122,-0.3164229669287696,-0.4321614789672897,-0.8168747110047776,IND,PHI,2014-10-29 0:00,2015,1
