season_id,team_id_home,team_abbreviation_home,Team,game_id,game_date,matchup_home,wl_home,team_id_away,team_abbreviation_away,team_name_away,game_yearEnd,FG.,percent_3pt,percent_2pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,MarginOfVictory,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,X3PAr,TS.
22014,1610612765,DET,Detroit Pistons,21400676,2015-01-27 0:00,DET vs. CLE,0,1610612739,CLE,Cleveland Cavaliers,2015,0.432,0.344,0.468,0.703,34.3,13.7,48.0,23.1,8.1,5.0,14.3,20.3,105.3,-1.0,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515
22014,1610612747,LAL,Los Angeles Lakers,21400097,2014-11-09 0:00,LAL vs. CHA,1,1610612766,CHA,Charlotte Hornets,2015,0.435,0.344,0.461,0.741,33.9,12.2,46.1,22.0,7.4,4.7,13.9,22.3,103.4,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.276,0.22,0.513
22014,1610612751,BKN,Brooklyn Nets,21401078,2015-03-27 0:00,BKN vs. CLE,1,1610612739,CLE,Cleveland Cavaliers,2015,0.451,0.331,0.489,0.748,34.1,11.0,45.1,22.3,7.5,4.4,14.7,20.5,104.4,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.267,0.24,0.529
22014,1610612738,BOS,Boston Celtics,21400486,2015-01-02 0:00,BOS vs. DAL,0,1610612742,DAL,Dallas Mavericks,2015,0.443,0.327,0.488,0.754,33.8,11.5,45.3,25.3,8.5,3.7,14.3,21.9,104.7,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523
22014,1610612741,CHI,Chicago Bulls,21400528,2015-01-07 0:00,CHI vs. UTA,0,1610612762,UTA,Utah Jazz,2015,0.442,0.353,0.474,0.783,36.3,12.5,48.8,23.2,6.7,6.2,14.9,19.5,107.5,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536
22014,1610612758,SAC,Sacramento Kings,21400014,2014-10-29 0:00,SAC vs. GSW,0,1610612744,GSW,Golden State Warriors,2015,0.455,0.341,0.484,0.762,34.6,11.3,45.9,21.1,7.0,4.1,16.9,21.5,105.3,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542
22014,1610612749,MIL,Milwaukee Bucks,21400847,2015-02-25 0:00,MIL vs. PHI,1,1610612755,PHI,Philadelphia 76ers,2015,0.459,0.363,0.486,0.757,32.9,11.2,44.2,24.7,10.1,5.2,17.6,23.2,102.7,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536
22014,1610612764,WAS,Washington Wizards,21400776,2015-02-09 0:00,WAS vs. ORL,1,1610612753,ORL,Orlando Magic,2015,0.462,0.36,0.488,0.742,36.0,11.1,47.0,25.3,7.7,4.9,15.8,21.9,103.7,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534
22014,1610612750,MIN,Minnesota Timberwolves,21400321,2014-12-10 0:00,MIN vs. POR,1,1610612757,POR,Portland Trail Blazers,2015,0.438,0.332,0.461,0.776,30.9,12.2,43.1,22.7,8.6,4.2,15.8,20.2,102.9,-8.79,0.79,-8.0,102.9,112.2,-9.3,94.4,0.309,0.179,0.517
22014,1610612740,NOP,New Orleans Pelicans,21400865,2015-02-27 0:00,NOP vs. MIA,1,1610612748,MIA,Miami Heat,2015,0.457,0.37,0.484,0.751,34.8,12.5,47.3,24.0,7.3,6.8,14.4,20.3,108.2,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537
