FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,StrengthOfSchedule,DRtg,NRtg,Pace,FTr,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.451,0.367,0.748,35.6,10.6,45.9,25.7,8.4,5.0,15.8,20.1,104.4,0.14,102.0,6.5,93.8,0.239,SAS,SAC,2015-03-04 0:00,2015,1
0.478,0.347,0.768,33.7,10.3,44.4,21.9,8.4,5.7,16.9,22.2,111.6,-0.15,107.7,-6.1,93.8,0.261,ORL,PHX,2015-03-04 0:00,2015,0
0.432,0.352,0.703,32.9,13.3,44.4,22.1,8.0,5.7,13.9,22.3,105.3,-0.62,107.7,3.3,92.8,0.256,TOR,CLE,2015-03-04 0:00,2015,0
0.468,0.37,0.78,34.8,10.6,47.3,24.0,7.3,4.1,13.5,20.3,108.5,0.34,107.3,0.9,91.4,0.284,NOP,DET,2015-03-04 0:00,2015,1
0.447,0.339,0.754,36.0,10.6,49.3,21.3,7.6,5.8,13.8,23.1,107.8,0.28,105.5,2.3,95.7,0.23,OKC,PHI,2015-03-04 0:00,2015,1
0.453,0.376,0.729,34.8,10.0,44.9,26.1,8.2,5.0,14.3,22.5,101.6,0.22,105.5,6.9,94.7,0.269,LAC,POR,2015-03-04 0:00,2015,0
0.42,0.335,0.748,32.9,9.3,42.9,21.8,8.6,4.9,15.5,21.9,100.1,-0.32,106.7,-2.8,90.9,0.306,MIA,LAL,2015-03-04 0:00,2015,1
0.456,0.331,0.741,34.1,10.1,45.1,22.3,7.5,5.3,14.6,20.5,103.9,-0.25,107.4,-3.0,92.7,0.259,BKN,CHA,2015-03-04 0:00,2015,0
0.466,0.362,0.778,37.0,11.2,48.2,23.1,6.7,5.2,15.2,19.2,108.9,0.18,103.7,4.5,94.2,0.303,POR,DAL,2015-03-05 0:00,2015,1
0.473,0.353,0.71,36.3,12.7,48.8,23.2,6.7,4.6,14.3,19.5,112.4,-0.46,104.3,3.2,92.8,0.258,CHI,OKC,2015-03-05 0:00,2015,1
0.459,0.398,0.757,34.8,11.2,45.4,27.8,9.4,4.8,12.7,20.2,102.7,-0.09,101.4,10.2,98.3,0.278,GSW,DAL,2015-03-06 0:00,2015,1
0.433,0.318,0.734,36.2,12.5,46.9,21.5,6.5,6.2,16.9,19.4,104.5,-0.27,103.5,-3.4,93.0,0.251,CHA,TOR,2015-03-06 0:00,2015,1
0.452,0.331,0.76,34.1,10.3,45.1,22.3,7.5,5.7,14.9,20.5,105.3,-0.25,107.4,-3.0,92.7,0.304,BKN,PHX,2015-03-06 0:00,2015,0
0.442,0.339,0.783,34.5,11.0,45.8,23.3,9.2,4.4,14.3,20.5,107.5,0.38,102.2,3.5,92.0,0.256,MEM,LAL,2015-03-06 0:00,2015,1
0.468,0.36,0.78,36.0,13.3,47.0,25.3,7.7,6.6,14.7,21.9,108.5,-0.55,103.0,0.7,93.7,0.267,WAS,MIA,2015-03-06 0:00,2015,1
0.451,0.347,0.748,33.7,12.2,44.4,21.9,8.4,4.7,15.8,22.2,104.4,-0.15,107.7,-6.1,93.8,0.297,ORL,SAC,2015-03-06 0:00,2015,1
0.447,0.367,0.721,35.6,10.9,45.9,25.7,8.4,4.7,14.7,20.1,105.1,0.14,102.0,6.5,93.8,0.276,SAS,DEN,2015-03-06 0:00,2015,1
0.435,0.38,0.741,33.8,11.1,43.1,27.3,9.6,4.9,15.5,18.9,103.4,-0.68,103.1,5.8,93.9,0.262,ATL,CLE,2015-03-06 0:00,2015,1
0.463,0.348,0.752,32.9,12.4,45.0,22.8,9.8,6.2,14.4,22.6,109.5,0.38,103.4,3.6,96.5,0.266,HOU,DET,2015-03-06 0:00,2015,1
0.439,0.32,0.756,32.1,10.6,44.5,21.3,10.0,5.8,13.0,22.5,103.5,-0.07,104.8,-9.3,95.7,0.288,PHI,UTA,2015-03-06 0:00,2015,0
0.42,0.352,0.748,36.6,11.5,47.7,22.8,6.6,3.7,13.8,22.6,100.1,-0.51,103.2,0.3,93.2,0.269,IND,CHI,2015-03-06 0:00,2015,1
0.443,0.37,0.754,34.8,13.3,47.3,24.0,7.3,5.7,15.8,20.3,104.7,0.34,107.3,0.9,91.4,0.233,NOP,BOS,2015-03-06 0:00,2015,0
0.447,0.335,0.754,32.9,11.2,42.9,21.8,8.6,4.8,13.9,21.9,107.8,-0.32,106.7,-2.8,90.9,0.284,MIA,SAC,2015-03-07 0:00,2015,1
0.452,0.325,0.76,33.3,10.6,46.0,22.5,8.1,6.1,15.2,23.6,105.3,0.48,108.2,-3.7,96.1,0.251,DEN,HOU,2015-03-07 0:00,2015,0
0.478,0.363,0.768,32.9,10.0,44.2,24.7,10.1,5.0,14.9,23.2,111.6,-0.52,102.2,0.5,94.1,0.239,MIL,WAS,2015-03-07 0:00,2015,1
0.456,0.367,0.741,34.3,11.2,46.3,23.8,7.9,5.2,14.3,19.8,103.9,-0.4,106.3,4.8,92.3,0.306,CLE,PHX,2015-03-07 0:00,2015,1
0.459,0.37,0.757,34.8,11.3,47.3,24.0,7.3,4.8,14.7,20.3,102.7,0.34,107.3,0.9,91.4,0.258,NOP,MEM,2015-03-07 0:00,2015,1
0.45,0.332,0.801,30.9,12.7,43.1,22.7,8.6,4.6,14.3,20.2,108.2,0.79,112.2,-9.3,94.4,0.225,MIN,POR,2015-03-07 0:00,2015,1
0.433,0.32,0.734,32.1,11.1,44.5,21.3,10.0,4.9,13.5,22.5,104.5,-0.07,104.8,-9.3,95.7,0.278,PHI,ATL,2015-03-07 0:00,2015,1
0.439,0.347,0.756,32.4,10.3,43.9,23.1,7.6,5.7,15.8,23.4,103.5,-0.18,110.0,-10.1,91.2,0.266,NYK,IND,2015-03-07 0:00,2015,0
0.468,0.344,0.78,33.9,11.1,46.1,22.0,7.4,4.9,16.9,22.3,108.5,0.67,110.6,-7.2,94.0,0.256,LAL,DAL,2015-03-08 0:00,2015,0
0.462,0.331,0.742,34.1,13.3,45.1,22.3,7.5,6.6,15.8,20.5,103.7,-0.25,107.4,-3.0,92.7,0.259,BKN,UTA,2015-03-08 0:00,2015,0
0.447,0.398,0.721,34.8,12.2,45.4,27.8,9.4,4.7,16.2,20.2,105.1,-0.09,101.4,10.2,98.3,0.297,GSW,LAC,2015-03-08 0:00,2015,1
0.435,0.344,0.741,34.3,10.9,48.0,23.1,8.1,4.7,16.9,20.3,103.4,-0.39,106.4,-1.1,92.8,0.276,DET,CHA,2015-03-08 0:00,2015,0
0.463,0.367,0.752,35.6,11.5,45.9,25.7,8.4,4.6,16.0,20.1,109.5,0.14,102.0,6.5,93.8,0.262,SAS,CHI,2015-03-08 0:00,2015,1
0.455,0.339,0.787,36.0,11.5,49.3,21.3,7.6,3.7,13.0,23.1,111.0,0.28,105.5,2.3,95.7,0.295,OKC,TOR,2015-03-08 0:00,2015,1
0.443,0.347,0.754,33.7,12.4,44.4,21.9,8.4,6.2,17.1,22.2,104.7,-0.15,107.7,-6.1,93.8,0.233,ORL,BOS,2015-03-08 0:00,2015,1
0.452,0.318,0.76,36.2,11.2,46.9,21.5,6.5,4.8,14.4,19.4,105.3,-0.27,103.5,-3.4,93.0,0.288,CHA,WAS,2015-03-09 0:00,2015,0
0.433,0.335,0.734,32.9,12.7,42.9,21.8,8.6,4.6,14.3,21.9,104.5,-0.32,106.7,-2.8,90.9,0.251,MIA,BOS,2015-03-09 0:00,2015,0
0.447,0.38,0.754,33.8,13.3,43.1,27.3,9.6,5.7,16.9,18.9,107.8,-0.68,103.1,5.8,93.9,0.278,ATL,SAC,2015-03-09 0:00,2015,1
0.45,0.376,0.801,34.8,11.3,44.9,26.1,8.2,4.8,15.4,22.5,108.2,0.22,105.5,6.9,94.7,0.284,LAC,MIN,2015-03-09 0:00,2015,1
0.42,0.363,0.748,32.9,10.6,44.2,24.7,10.1,5.8,16.2,23.2,100.1,-0.52,102.2,0.5,94.1,0.225,MIL,NOP,2015-03-09 0:00,2015,0
0.447,0.325,0.721,33.3,13.3,46.0,22.5,8.1,6.6,13.5,23.6,105.1,0.48,108.2,-3.7,96.1,0.269,DEN,NYK,2015-03-09 0:00,2015,1
0.439,0.341,0.756,33.1,11.1,44.4,20.8,8.8,4.9,13.8,21.9,103.5,0.52,106.2,-0.9,96.3,0.297,PHX,GSW,2015-03-09 0:00,2015,0
0.458,0.353,0.773,36.3,11.2,48.8,23.2,6.7,4.5,15.2,19.5,105.7,-0.46,104.3,3.2,92.8,0.266,CHI,MEM,2015-03-09 0:00,2015,0
0.478,0.367,0.768,35.6,12.4,45.9,25.7,8.4,6.2,14.9,20.1,111.6,0.14,102.0,6.5,93.8,0.276,SAS,TOR,2015-03-10 0:00,2015,1
0.462,0.331,0.742,34.1,10.6,45.1,22.3,7.5,6.1,16.9,20.5,103.7,-0.25,107.4,-3.0,92.7,0.288,BKN,NOP,2015-03-10 0:00,2015,0
0.468,0.343,0.78,35.3,11.1,48.6,22.0,8.4,4.9,14.7,21.3,108.5,0.49,104.9,0.2,90.4,0.239,UTA,NYK,2015-03-10 0:00,2015,1
0.452,0.344,0.76,33.9,10.3,46.1,22.0,7.4,5.7,15.5,22.3,105.3,0.67,110.6,-7.2,94.0,0.259,LAL,DET,2015-03-10 0:00,2015,1
0.457,0.352,0.751,33.1,11.2,44.0,23.4,8.4,4.8,13.9,20.9,108.2,0.46,106.4,3.1,95.2,0.256,DAL,CLE,2015-03-10 0:00,2015,0
0.473,0.352,0.71,36.6,12.5,47.7,22.8,6.6,5.3,17.1,22.6,112.4,-0.51,103.2,0.3,93.2,0.251,IND,ORL,2015-03-10 0:00,2015,1
0.455,0.32,0.787,32.1,10.1,44.5,21.3,10.0,4.6,16.0,22.5,111.0,-0.07,104.8,-9.3,95.7,0.263,PHI,CHI,2015-03-11 0:00,2015,0
0.453,0.318,0.729,36.2,11.5,46.9,21.5,6.5,4.1,15.2,19.4,101.6,-0.27,103.5,-3.4,93.0,0.303,CHA,SAC,2015-03-11 0:00,2015,0
0.435,0.327,0.741,33.8,10.6,45.3,25.3,8.5,4.7,15.4,21.9,103.4,-0.56,104.5,0.2,95.8,0.295,BOS,MEM,2015-03-11 0:00,2015,1
0.447,0.339,0.754,36.0,12.2,49.3,21.3,7.6,5.7,16.9,23.1,107.8,0.28,105.5,2.3,95.7,0.23,OKC,LAC,2015-03-11 0:00,2015,0
0.439,0.341,0.756,33.1,13.3,44.4,20.8,8.8,4.9,15.8,21.9,103.5,0.52,106.2,-0.9,96.3,0.276,PHX,MIN,2015-03-11 0:00,2015,1
0.458,0.398,0.773,34.8,11.1,45.4,27.8,9.4,4.5,14.7,20.2,105.7,-0.09,101.4,10.2,98.3,0.284,GSW,DET,2015-03-11 0:00,2015,1
0.478,0.335,0.768,32.9,11.2,42.9,21.8,8.6,6.1,16.2,21.9,111.6,-0.32,106.7,-2.8,90.9,0.266,MIA,BKN,2015-03-11 0:00,2015,1
0.443,0.363,0.754,32.9,10.6,44.2,24.7,10.1,3.7,14.7,23.2,104.7,-0.52,102.2,0.5,94.1,0.276,MIL,ORL,2015-03-11 0:00,2015,1
0.463,0.362,0.752,37.0,11.5,48.2,23.1,6.7,4.7,14.9,19.2,109.5,0.18,103.7,4.5,94.2,0.239,POR,HOU,2015-03-11 0:00,2015,1
0.462,0.325,0.742,33.3,10.9,46.0,22.5,8.1,4.9,13.0,23.6,103.7,0.48,108.2,-3.7,96.1,0.233,DEN,ATL,2015-03-11 0:00,2015,1
0.447,0.352,0.721,36.6,11.1,47.7,22.8,6.6,6.6,14.7,22.6,105.1,-0.51,103.2,0.3,93.2,0.262,IND,MIL,2015-03-12 0:00,2015,1
0.438,0.367,0.776,35.6,13.3,45.9,25.7,8.4,4.2,13.5,20.1,102.9,0.14,102.0,6.5,93.8,0.259,SAS,CLE,2015-03-12 0:00,2015,0
0.456,0.36,0.741,36.0,12.2,47.0,25.3,7.7,5.0,14.3,21.9,103.9,-0.55,103.0,0.7,93.7,0.297,WAS,MEM,2015-03-12 0:00,2015,1
0.455,0.343,0.762,35.3,10.0,48.6,22.0,8.4,4.1,14.3,21.3,105.3,0.49,104.9,0.2,90.4,0.309,UTA,HOU,2015-03-12 0:00,2015,1
0.428,0.344,0.769,33.9,11.3,46.1,22.0,7.4,5.1,14.7,22.3,99.9,0.67,110.6,-7.2,94.0,0.306,LAL,NYK,2015-03-12 0:00,2015,0
0.473,0.352,0.71,33.1,11.5,44.0,23.4,8.4,5.3,17.1,20.9,112.4,0.46,106.4,3.1,95.2,0.234,DAL,LAC,2015-03-13 0:00,2015,1
0.444,0.352,0.715,32.9,10.1,44.4,22.1,8.0,5.1,14.9,22.3,107.0,-0.62,107.7,3.3,92.8,0.303,TOR,MIA,2015-03-13 0:00,2015,1
0.457,0.327,0.751,33.8,12.0,45.3,25.3,8.5,5.0,14.3,21.9,108.2,-0.56,104.5,0.2,95.8,0.312,BOS,ORL,2015-03-13 0:00,2015,1
0.432,0.32,0.703,32.1,12.5,44.5,21.3,10.0,6.6,15.8,22.5,105.3,-0.07,104.8,-9.3,95.7,0.263,PHI,SAC,2015-03-13 0:00,2015,1
0.447,0.341,0.721,33.1,13.3,44.4,20.8,8.8,5.2,16.9,21.9,105.1,0.52,106.2,-0.9,96.3,0.261,PHX,ATL,2015-03-13 0:00,2015,0
0.459,0.325,0.757,33.3,11.2,46.0,22.5,8.1,4.5,15.2,23.6,102.7,0.48,108.2,-3.7,96.1,0.297,DEN,GSW,2015-03-13 0:00,2015,1
0.458,0.339,0.751,36.0,12.0,49.3,21.3,7.6,5.0,13.8,23.1,111.1,0.28,105.5,2.3,95.7,0.258,OKC,MIN,2015-03-13 0:00,2015,1
0.456,0.362,0.741,37.0,10.0,48.2,23.1,6.7,4.7,13.0,19.2,103.9,0.18,103.7,4.5,94.2,0.287,POR,DET,2015-03-13 0:00,2015,1
0.463,0.318,0.752,36.2,10.9,46.9,21.5,6.5,4.6,13.9,19.4,109.5,-0.27,103.5,-3.4,93.0,0.306,CHA,CHI,2015-03-13 0:00,2015,1
0.455,0.343,0.787,35.3,11.5,48.6,22.0,8.4,6.2,15.1,21.3,111.0,0.49,104.9,0.2,90.4,0.262,UTA,DET,2015-03-14 0:00,2015,1
0.447,0.352,0.754,36.6,12.4,47.7,22.8,6.6,5.7,15.8,22.6,107.8,-0.51,103.2,0.3,93.2,0.295,IND,BOS,2015-03-14 0:00,2015,0
0.442,0.339,0.783,34.5,13.3,45.8,23.3,9.2,6.2,15.5,20.5,107.5,0.38,102.2,3.5,92.0,0.288,MEM,MIL,2015-03-14 0:00,2015,1
0.455,0.32,0.762,32.1,12.5,44.5,21.3,10.0,4.1,16.9,22.5,105.3,-0.07,104.8,-9.3,95.7,0.284,PHI,BKN,2015-03-14 0:00,2015,0
0.478,0.398,0.768,34.8,11.3,45.4,27.8,9.4,6.1,14.7,20.2,111.6,-0.09,101.4,10.2,98.3,0.304,GSW,NYK,2015-03-14 0:00,2015,1
0.452,0.36,0.76,36.0,10.6,47.0,25.3,7.7,4.8,14.7,21.9,105.3,-0.55,103.0,0.7,93.7,0.239,WAS,SAC,2015-03-14 0:00,2015,1
0.435,0.367,0.741,35.6,11.2,45.9,25.7,8.4,4.7,14.9,20.1,103.4,0.14,102.0,6.5,93.8,0.251,SAS,MIN,2015-03-15 0:00,2015,1
0.444,0.341,0.715,33.1,12.2,44.4,20.8,8.8,5.1,14.9,21.9,107.0,0.52,106.2,-0.9,96.3,0.276,PHX,NYK,2015-03-15 0:00,2015,1
0.428,0.37,0.769,34.8,12.0,47.3,24.0,7.3,5.1,16.0,20.3,99.9,0.34,107.3,0.9,91.4,0.312,NOP,DEN,2015-03-15 0:00,2015,0
0.447,0.376,0.754,34.8,11.5,44.9,26.1,8.2,5.7,16.9,22.5,107.8,0.22,105.5,6.9,94.7,0.234,LAC,HOU,2015-03-15 0:00,2015,0
0.458,0.352,0.751,32.9,13.3,44.4,22.1,8.0,4.5,14.3,22.3,111.1,-0.62,107.7,3.3,92.8,0.284,TOR,POR,2015-03-15 0:00,2015,0
0.455,0.347,0.762,33.7,12.0,44.4,21.9,8.4,4.1,15.2,22.2,105.3,-0.15,107.7,-6.1,93.8,0.287,ORL,CLE,2015-03-15 0:00,2015,0
0.453,0.344,0.729,33.9,11.3,46.1,22.0,7.4,6.2,14.3,22.3,101.6,0.67,110.6,-7.2,94.0,0.288,LAL,ATL,2015-03-15 0:00,2015,0
0.468,0.339,0.78,36.0,12.4,49.3,21.3,7.6,4.1,13.5,23.1,108.5,0.28,105.5,2.3,95.7,0.23,OKC,CHI,2015-03-15 0:00,2015,1
0.456,0.352,0.741,36.6,10.6,47.7,22.8,6.6,5.7,14.3,22.6,103.9,-0.51,103.2,0.3,93.2,0.256,IND,TOR,2015-03-16 0:00,2015,0
0.451,0.339,0.748,34.5,10.3,45.8,23.3,9.2,5.0,14.3,20.5,104.4,0.38,102.2,3.5,92.0,0.306,MEM,DEN,2015-03-16 0:00,2015,1
0.442,0.398,0.783,34.8,10.0,45.4,27.8,9.4,4.4,15.8,20.2,107.5,-0.09,101.4,10.2,98.3,0.267,GSW,LAL,2015-03-16 0:00,2015,1
0.473,0.327,0.71,33.8,11.0,45.3,25.3,8.5,6.2,14.6,21.9,112.4,-0.56,104.5,0.2,95.8,0.304,BOS,PHI,2015-03-16 0:00,2015,1
0.478,0.352,0.768,33.1,12.5,44.0,23.4,8.4,5.3,15.5,20.9,111.6,0.46,106.4,3.1,95.2,0.303,DAL,OKC,2015-03-16 0:00,2015,1
0.463,0.36,0.752,36.0,10.1,47.0,25.3,7.7,6.1,16.9,21.9,109.5,-0.55,103.0,0.7,93.7,0.239,WAS,POR,2015-03-16 0:00,2015,1
0.432,0.343,0.703,35.3,10.6,48.6,22.0,8.4,4.7,15.8,21.3,105.3,0.49,104.9,0.2,90.4,0.262,UTA,CHA,2015-03-16 0:00,2015,1
0.458,0.332,0.773,30.9,10.9,43.1,22.7,8.6,5.0,14.4,20.2,105.7,0.79,112.2,-9.3,94.4,0.261,MIN,BKN,2015-03-16 0:00,2015,0
0.478,0.335,0.768,32.9,11.2,42.9,21.8,8.6,4.5,13.8,21.9,111.6,-0.32,106.7,-2.8,90.9,0.276,MIA,CLE,2015-03-16 0:00,2015,1
0.444,0.341,0.715,34.6,10.6,45.9,21.1,7.0,6.1,12.7,21.5,107.0,0.64,109.2,-3.9,95.4,0.239,SAC,ATL,2015-03-16 0:00,2015,0
0.439,0.347,0.756,32.4,12.0,43.9,23.1,7.6,5.1,16.0,23.4,103.5,-0.18,110.0,-10.1,91.2,0.312,NYK,SAS,2015-03-17 0:00,2015,1
0.443,0.376,0.754,34.8,11.1,44.9,26.1,8.2,4.9,15.8,22.5,104.7,0.22,105.5,6.9,94.7,0.266,LAC,CHA,2015-03-17 0:00,2015,1
0.438,0.348,0.776,32.9,11.5,45.0,22.8,9.8,3.7,14.7,22.6,102.9,0.38,103.4,3.6,96.5,0.233,HOU,ORL,2015-03-17 0:00,2015,1
0.455,0.37,0.762,34.8,12.2,47.3,24.0,7.3,4.2,14.7,20.3,105.3,0.34,107.3,0.9,91.4,0.309,NOP,MIL,2015-03-17 0:00,2015,1
0.447,0.344,0.754,34.3,11.3,48.0,23.1,8.1,4.1,15.8,20.3,107.8,-0.39,106.4,-1.1,92.8,0.284,DET,MEM,2015-03-17 0:00,2015,1
0.455,0.343,0.787,35.3,13.3,48.6,22.0,8.4,5.7,15.5,21.3,111.0,0.49,104.9,0.2,90.4,0.295,UTA,WAS,2015-03-18 0:00,2015,0
0.473,0.363,0.71,32.9,11.5,44.2,24.7,10.1,4.6,14.6,23.2,112.4,-0.52,102.2,0.5,94.1,0.303,MIL,SAS,2015-03-18 0:00,2015,0
0.435,0.367,0.741,34.3,10.1,46.3,23.8,7.9,5.3,14.4,19.8,103.4,-0.4,106.3,4.8,92.3,0.276,CLE,BKN,2015-03-18 0:00,2015,1
0.466,0.335,0.778,32.9,12.2,42.9,21.8,8.6,4.7,14.3,21.9,108.9,-0.32,106.7,-2.8,90.9,0.259,MIA,POR,2015-03-18 0:00,2015,1
0.459,0.352,0.757,33.1,9.3,44.0,23.4,8.4,4.9,13.8,20.9,102.7,0.46,106.4,3.1,95.2,0.258,DAL,ORL,2015-03-18 0:00,2015,1
0.453,0.352,0.729,32.9,11.2,44.4,22.1,8.0,5.2,14.7,22.3,101.6,-0.62,107.7,3.3,92.8,0.23,TOR,MIN,2015-03-18 0:00,2015,1
0.452,0.32,0.76,32.1,10.6,44.5,21.3,10.0,4.1,16.0,22.5,105.3,-0.07,104.8,-9.3,95.7,0.251,PHI,DET,2015-03-18 0:00,2015,1
0.447,0.339,0.721,36.0,11.2,49.3,21.3,7.6,4.8,17.1,23.1,105.1,0.28,105.5,2.3,95.7,0.297,OKC,BOS,2015-03-18 0:00,2015,1
0.478,0.353,0.768,36.3,13.3,48.8,23.2,6.7,6.6,15.1,19.5,111.6,-0.46,104.3,3.2,92.8,0.239,CHI,IND,2015-03-18 0:00,2015,1
0.451,0.341,0.748,34.6,10.6,45.9,21.1,7.0,6.1,15.8,21.5,104.4,0.64,109.2,-3.9,95.4,0.267,SAC,LAC,2015-03-18 0:00,2015,0
0.439,0.398,0.756,34.8,11.0,45.4,27.8,9.4,4.4,16.9,20.2,103.5,-0.09,101.4,10.2,98.3,0.266,GSW,ATL,2015-03-18 0:00,2015,1
0.442,0.341,0.783,33.1,11.1,44.4,20.8,8.8,4.9,14.9,21.9,107.5,0.52,106.2,-0.9,96.3,0.304,PHX,NOP,2015-03-19 0:00,2015,1
0.428,0.344,0.769,33.9,12.5,46.1,22.0,7.4,6.2,12.7,22.3,99.9,0.67,110.6,-7.2,94.0,0.234,LAL,UTA,2015-03-19 0:00,2015,0
0.455,0.348,0.762,32.9,11.5,45.0,22.8,9.8,5.1,14.3,22.6,105.3,0.38,103.4,3.6,96.5,0.261,HOU,DEN,2015-03-19 0:00,2015,1
0.432,0.347,0.703,32.4,11.3,43.9,23.1,7.6,4.1,14.9,23.4,105.3,-0.18,110.0,-10.1,91.2,0.284,NYK,MIN,2015-03-19 0:00,2015,0
0.447,0.339,0.754,36.0,13.3,49.3,21.3,7.6,5.0,14.3,23.1,107.8,0.28,105.5,2.3,95.7,0.225,OKC,ATL,2015-03-20 0:00,2015,1
0.45,0.367,0.801,34.3,11.3,46.3,23.8,7.9,5.7,14.7,19.8,108.2,-0.4,106.3,4.8,92.3,0.258,CLE,IND,2015-03-20 0:00,2015,1
0.459,0.341,0.757,34.6,11.2,45.9,21.1,7.0,4.8,16.2,21.5,102.7,0.64,109.2,-3.9,95.4,0.262,SAC,CHA,2015-03-20 0:00,2015,1
0.463,0.32,0.752,32.1,10.9,44.5,21.3,10.0,5.2,15.4,22.5,109.5,-0.07,104.8,-9.3,95.7,0.233,PHI,NYK,2015-03-20 0:00,2015,1
0.443,0.347,0.754,33.7,11.5,44.4,21.9,8.4,4.7,14.4,22.2,104.7,-0.15,107.7,-6.1,93.8,0.276,ORL,POR,2015-03-20 0:00,2015,1
0.458,0.367,0.773,35.6,11.2,45.9,25.7,8.4,3.7,14.7,20.1,105.7,0.14,102.0,6.5,93.8,0.259,SAS,BOS,2015-03-20 0:00,2015,1
0.462,0.335,0.742,32.9,11.1,42.9,21.8,8.6,4.5,15.8,21.9,103.7,-0.32,106.7,-2.8,90.9,0.278,MIA,DEN,2015-03-20 0:00,2015,1
0.433,0.331,0.734,34.1,12.7,45.1,22.3,7.5,4.9,15.5,20.5,104.5,-0.25,107.4,-3.0,92.7,0.251,BKN,MIL,2015-03-20 0:00,2015,1
0.452,0.353,0.76,36.3,11.2,48.8,23.2,6.7,4.6,15.8,19.5,105.3,-0.46,104.3,3.2,92.8,0.297,CHI,TOR,2015-03-20 0:00,2015,1
0.447,0.376,0.721,34.8,13.3,44.9,26.1,8.2,4.8,12.7,22.5,105.1,0.22,105.5,6.9,94.7,0.23,LAC,WAS,2015-03-20 0:00,2015,1
0.453,0.398,0.729,34.8,10.6,45.4,27.8,9.4,6.6,14.3,20.2,101.6,-0.09,101.4,10.2,98.3,0.263,GSW,NOP,2015-03-20 0:00,2015,1
0.457,0.352,0.751,33.1,12.5,44.0,23.4,8.4,4.1,15.1,20.9,108.2,0.46,106.4,3.1,95.2,0.295,DAL,MEM,2015-03-20 0:00,2015,0
0.455,0.344,0.787,34.3,11.5,48.0,23.1,8.1,4.6,14.3,20.3,111.0,-0.39,106.4,-1.1,92.8,0.269,DET,CHI,2015-03-21 0:00,2015,1
0.42,0.339,0.748,34.5,10.6,45.8,23.3,9.2,5.8,13.8,20.5,100.1,0.38,102.2,3.5,92.0,0.234,MEM,POR,2015-03-21 0:00,2015,1
0.428,0.398,0.769,34.8,11.5,45.4,27.8,9.4,5.1,14.3,20.2,99.9,-0.09,101.4,10.2,98.3,0.309,GSW,UTA,2015-03-21 0:00,2015,1
0.438,0.348,0.776,32.9,12.2,45.0,22.8,9.8,4.2,14.7,22.6,102.9,0.38,103.4,3.6,96.5,0.256,HOU,PHX,2015-03-21 0:00,2015,0
0.468,0.352,0.78,36.6,10.3,47.7,22.8,6.6,5.7,16.2,22.6,108.5,-0.51,103.2,0.3,93.2,0.258,IND,BKN,2015-03-21 0:00,2015,0
0.459,0.327,0.757,33.8,11.2,45.3,25.3,8.5,5.2,13.0,21.9,102.7,-0.56,104.5,0.2,95.8,0.267,BOS,DET,2015-03-22 0:00,2015,0
0.451,0.332,0.748,30.9,11.0,43.1,22.7,8.6,4.4,15.2,20.2,104.4,0.79,112.2,-9.3,94.4,0.23,MIN,CHA,2015-03-22 0:00,2015,0
0.453,0.341,0.729,34.6,10.6,45.9,21.1,7.0,4.1,12.7,21.5,101.6,0.64,109.2,-3.9,95.4,0.251,SAC,WAS,2015-03-22 0:00,2015,1
0.452,0.339,0.76,36.0,11.2,49.3,21.3,7.6,4.8,17.1,23.1,105.3,0.28,105.5,2.3,95.7,0.288,OKC,MIA,2015-03-22 0:00,2015,1
0.433,0.352,0.734,32.9,12.4,44.4,22.1,8.0,6.2,15.8,22.3,104.5,-0.62,107.7,3.3,92.8,0.278,TOR,NYK,2015-03-22 0:00,2015,1
0.457,0.376,0.751,34.8,12.7,44.9,26.1,8.2,4.6,16.0,22.5,108.2,0.22,105.5,6.9,94.7,0.263,LAC,NOP,2015-03-22 0:00,2015,1
0.458,0.344,0.773,33.9,12.5,46.1,22.0,7.4,4.5,13.9,22.3,105.7,0.67,110.6,-7.2,94.0,0.276,LAL,PHI,2015-03-22 0:00,2015,1
0.455,0.38,0.787,33.8,11.2,43.1,27.3,9.6,4.6,14.3,18.9,111.0,-0.68,103.1,5.8,93.9,0.295,ATL,SAS,2015-03-22 0:00,2015,0
0.468,0.363,0.78,32.9,11.5,44.2,24.7,10.1,5.7,16.9,23.2,108.5,-0.52,102.2,0.5,94.1,0.256,MIL,CLE,2015-03-22 0:00,2015,0
0.428,0.347,0.769,33.7,10.3,44.4,21.9,8.4,5.1,15.8,22.2,99.9,-0.15,107.7,-6.1,93.8,0.234,ORL,DEN,2015-03-22 0:00,2015,0
0.444,0.341,0.715,33.1,11.5,44.4,20.8,8.8,5.1,14.3,21.9,107.0,0.52,106.2,-0.9,96.3,0.312,PHX,DAL,2015-03-22 0:00,2015,1
0.466,0.343,0.778,35.3,12.0,48.6,22.0,8.4,4.9,15.8,21.3,108.9,0.49,104.9,0.2,90.4,0.259,UTA,MIN,2015-03-23 0:00,2015,0
0.462,0.398,0.742,34.8,9.3,45.4,27.8,9.4,4.9,14.7,20.2,103.7,-0.09,101.4,10.2,98.3,0.259,GSW,WAS,2015-03-23 0:00,2015,1
