FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,StrengthOfSchedule,DRtg,NRtg,Pace,FTr,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.432,0.344,0.703,34.3,13.3,48.0,23.1,8.1,6.6,16.9,20.3,105.3,-0.39,106.4,-1.1,92.8,0.288,DET,BKN,2014-11-01 0:00,2015,0
0.447,0.343,0.721,35.3,12.4,48.6,22.0,8.4,6.2,14.4,21.3,105.1,0.49,104.9,0.2,90.4,0.263,UTA,PHX,2014-11-01 0:00,2015,1
0.457,0.32,0.751,32.1,12.5,44.5,21.3,10.0,5.7,15.2,22.5,108.2,-0.07,104.8,-9.3,95.7,0.284,PHI,MIA,2014-11-01 0:00,2015,0
0.447,0.37,0.754,34.8,13.3,47.3,24.0,7.3,5.0,16.2,20.3,107.8,0.34,107.3,0.9,91.4,0.306,NOP,DAL,2014-11-01 0:00,2015,0
0.456,0.339,0.741,36.0,10.0,49.3,21.3,7.6,5.3,13.0,23.1,103.9,0.28,105.5,2.3,95.7,0.303,OKC,DEN,2014-11-01 0:00,2015,1
0.473,0.335,0.71,32.9,10.1,42.9,21.8,8.6,4.8,14.3,21.9,112.4,-0.32,106.7,-2.8,90.9,0.225,MIA,TOR,2014-11-02 0:00,2015,1
0.45,0.376,0.801,34.8,11.3,44.9,26.1,8.2,5.1,16.0,22.5,108.2,0.22,105.5,6.9,94.7,0.234,LAC,SAC,2014-11-02 0:00,2015,0
0.428,0.362,0.769,37.0,11.5,48.2,23.1,6.7,4.6,14.6,19.2,99.9,0.18,103.7,4.5,94.2,0.278,POR,GSW,2014-11-02 0:00,2015,0
0.433,0.347,0.734,32.4,12.7,43.9,23.1,7.6,4.7,13.5,23.4,104.5,-0.18,110.0,-10.1,91.2,0.262,NYK,CHA,2014-11-02 0:00,2015,1
0.463,0.325,0.752,33.3,10.9,46.0,22.5,8.1,4.5,14.3,23.6,109.5,0.48,108.2,-3.7,96.1,0.276,DEN,SAC,2014-11-03 0:00,2015,0
0.458,0.352,0.773,33.1,11.2,44.0,23.4,8.4,6.2,14.7,20.9,105.7,0.46,106.4,3.1,95.2,0.288,DAL,BOS,2014-11-03 0:00,2015,1
0.451,0.339,0.748,34.5,12.4,45.8,23.3,9.2,4.4,13.0,20.5,104.4,0.38,102.2,3.5,92.0,0.267,MEM,NOP,2014-11-03 0:00,2015,1
0.473,0.32,0.71,32.1,11.0,44.5,21.3,10.0,5.3,13.9,22.5,112.4,-0.07,104.8,-9.3,95.7,0.303,PHI,HOU,2014-11-03 0:00,2015,0
0.435,0.331,0.741,34.1,10.1,45.1,22.3,7.5,4.7,16.0,20.5,103.4,-0.25,107.4,-3.0,92.7,0.276,BKN,OKC,2014-11-03 0:00,2015,1
0.428,0.376,0.769,34.8,12.2,44.9,26.1,8.2,5.1,14.9,22.5,99.9,0.22,105.5,6.9,94.7,0.234,LAC,UTA,2014-11-03 0:00,2015,1
0.439,0.344,0.756,33.9,11.5,46.1,22.0,7.4,4.9,14.9,22.3,103.5,0.67,110.6,-7.2,94.0,0.266,LAL,PHX,2014-11-04 0:00,2015,0
0.442,0.347,0.783,32.4,11.1,43.9,23.1,7.6,6.2,16.2,23.4,107.5,-0.18,110.0,-10.1,91.2,0.304,NYK,WAS,2014-11-04 0:00,2015,0
0.456,0.352,0.741,36.6,12.5,47.7,22.8,6.6,5.0,14.4,22.6,103.9,-0.51,103.2,0.3,93.2,0.306,IND,MIL,2014-11-04 0:00,2015,0
0.457,0.353,0.751,36.3,10.0,48.8,23.2,6.7,4.8,14.3,19.5,108.2,-0.46,104.3,3.2,92.8,0.263,CHI,ORL,2014-11-04 0:00,2015,1
0.45,0.335,0.801,32.9,12.5,42.9,21.8,8.6,4.6,13.8,21.9,108.2,-0.32,106.7,-2.8,90.9,0.225,MIA,HOU,2014-11-04 0:00,2015,0
0.455,0.37,0.787,34.8,11.3,47.3,24.0,7.3,4.8,15.5,20.3,111.0,0.34,107.3,0.9,91.4,0.295,NOP,CHA,2014-11-04 0:00,2015,1
0.452,0.362,0.76,37.0,11.5,48.2,23.1,6.7,6.1,14.7,19.2,105.3,0.18,103.7,4.5,94.2,0.251,POR,CLE,2014-11-04 0:00,2015,1
0.478,0.352,0.768,32.9,11.2,44.4,22.1,8.0,5.0,14.3,22.3,111.6,-0.62,107.7,3.3,92.8,0.239,TOR,OKC,2014-11-04 0:00,2015,1
0.432,0.341,0.703,33.1,10.6,44.4,20.8,8.8,4.4,14.7,21.9,105.3,0.52,106.2,-0.9,96.3,0.261,PHX,MEM,2014-11-05 0:00,2015,0
0.451,0.398,0.748,34.8,11.0,45.4,27.8,9.4,4.1,16.9,20.2,104.4,-0.09,101.4,10.2,98.3,0.267,GSW,LAC,2014-11-05 0:00,2015,1
0.455,0.344,0.762,34.3,11.3,48.0,23.1,8.1,6.6,16.9,20.3,105.3,-0.39,106.4,-1.1,92.8,0.297,DET,NYK,2014-11-05 0:00,2015,1
0.447,0.331,0.721,34.1,13.3,45.1,22.3,7.5,6.2,12.7,20.5,105.1,-0.25,107.4,-3.0,92.7,0.288,BKN,MIN,2014-11-05 0:00,2015,0
0.42,0.341,0.748,34.6,12.4,45.9,21.1,7.0,5.8,14.3,21.5,100.1,0.64,109.2,-3.9,95.4,0.269,SAC,DEN,2014-11-05 0:00,2015,1
