FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,BLK,TOV,PTS,MarginOfVictory,SimpleRatngSystem,ORtg,DRtg,NRtg,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.466,0.38,0.778,33.8,9.3,43.1,27.3,5.0,14.3,108.9,5.43,4.75,108.9,103.1,5.8,0.321,0.563,ATL,IND,2014-11-01 0:00,2015,1
0.432,0.344,0.703,34.3,13.3,48.0,23.1,6.6,16.9,105.3,-1.0,-1.39,105.3,106.4,-1.1,0.29,0.515,DET,BKN,2014-11-01 0:00,2015,0
0.447,0.343,0.721,35.3,12.4,48.6,22.0,6.2,14.4,105.1,0.22,0.71,105.1,104.9,0.2,0.274,0.531,UTA,PHX,2014-11-01 0:00,2015,1
0.457,0.32,0.751,32.1,12.5,44.5,21.3,5.7,15.2,108.2,-8.98,-9.04,108.2,104.8,-9.3,0.319,0.494,PHI,MIA,2014-11-01 0:00,2015,0
0.447,0.37,0.754,34.8,13.3,47.3,24.0,5.0,16.2,107.8,0.79,1.13,107.8,107.3,0.9,0.233,0.537,NOP,DAL,2014-11-01 0:00,2015,0
0.456,0.339,0.741,36.0,10.0,49.3,21.3,5.3,13.0,103.9,2.18,2.47,103.9,105.5,2.3,0.262,0.532,OKC,DEN,2014-11-01 0:00,2015,1
0.473,0.335,0.71,32.9,10.1,42.9,21.8,4.8,14.3,112.4,-2.6,-2.92,112.4,106.7,-2.8,0.262,0.54,MIA,TOR,2014-11-02 0:00,2015,1
0.45,0.376,0.801,34.8,11.3,44.9,26.1,5.1,16.0,108.2,6.59,6.8,108.2,105.5,6.9,0.322,0.565,LAC,SAC,2014-11-02 0:00,2015,0
0.428,0.362,0.769,37.0,11.5,48.2,23.1,4.6,14.6,99.9,4.23,4.41,99.9,103.7,4.5,0.316,0.544,POR,GSW,2014-11-02 0:00,2015,0
0.433,0.347,0.734,32.4,12.7,43.9,23.1,4.7,13.5,104.5,-9.32,-9.5,104.5,110.0,-10.1,0.24,0.508,NYK,CHA,2014-11-02 0:00,2015,1
0.463,0.325,0.752,33.3,10.9,46.0,22.5,4.5,14.3,109.5,-3.55,-3.07,109.5,108.2,-3.7,0.284,0.518,DEN,SAC,2014-11-03 0:00,2015,0
0.458,0.352,0.773,33.1,11.2,44.0,23.4,6.2,14.7,105.7,2.9,3.36,105.7,106.4,3.1,0.296,0.55,DAL,BOS,2014-11-03 0:00,2015,1
0.451,0.339,0.748,34.5,12.4,45.8,23.3,4.4,13.0,104.4,3.24,3.62,104.4,102.2,3.5,0.184,0.531,MEM,NOP,2014-11-03 0:00,2015,1
0.473,0.32,0.71,32.1,11.0,44.5,21.3,5.3,13.9,112.4,-8.98,-9.04,112.4,104.8,-9.3,0.319,0.494,PHI,HOU,2014-11-03 0:00,2015,0
0.435,0.331,0.741,34.1,10.1,45.1,22.3,4.7,16.0,103.4,-2.88,-3.13,103.4,107.4,-3.0,0.24,0.529,BKN,OKC,2014-11-03 0:00,2015,1
0.428,0.376,0.769,34.8,12.2,44.9,26.1,5.1,14.9,99.9,6.59,6.8,99.9,105.5,6.9,0.322,0.565,LAC,UTA,2014-11-03 0:00,2015,1
0.439,0.344,0.756,33.9,11.5,46.1,22.0,4.9,14.9,103.5,-6.84,-6.17,103.5,110.6,-7.2,0.22,0.513,LAL,PHX,2014-11-04 0:00,2015,0
0.442,0.347,0.783,32.4,11.1,43.9,23.1,6.2,16.2,107.5,-9.32,-9.5,107.5,110.0,-10.1,0.24,0.508,NYK,WAS,2014-11-04 0:00,2015,0
0.456,0.352,0.741,36.6,12.5,47.7,22.8,5.0,14.4,103.9,0.28,-0.23,103.9,103.2,0.3,0.255,0.523,IND,MIL,2014-11-04 0:00,2015,0
0.457,0.353,0.751,36.3,10.0,48.8,23.2,4.8,14.3,108.2,3.0,2.54,108.2,104.3,3.2,0.269,0.536,CHI,ORL,2014-11-04 0:00,2015,1
0.45,0.335,0.801,32.9,12.5,42.9,21.8,4.6,13.8,108.2,-2.6,-2.92,108.2,106.7,-2.8,0.262,0.54,MIA,HOU,2014-11-04 0:00,2015,0
0.455,0.37,0.787,34.8,11.3,47.3,24.0,4.8,15.5,111.0,0.79,1.13,111.0,107.3,0.9,0.233,0.537,NOP,CHA,2014-11-04 0:00,2015,1
0.452,0.362,0.76,37.0,11.5,48.2,23.1,6.1,14.7,105.3,4.23,4.41,105.3,103.7,4.5,0.316,0.544,POR,CLE,2014-11-04 0:00,2015,1
0.478,0.352,0.768,32.9,11.2,44.4,22.1,5.0,14.3,111.6,3.07,2.45,111.6,107.7,3.3,0.302,0.553,TOR,OKC,2014-11-04 0:00,2015,1
0.432,0.341,0.703,33.1,10.6,44.4,20.8,4.4,14.7,105.3,-0.9,-0.38,105.3,106.2,-0.9,0.291,0.537,PHX,MEM,2014-11-05 0:00,2015,0
0.451,0.398,0.748,34.8,11.0,45.4,27.8,4.1,16.9,104.4,10.1,10.01,104.4,101.4,10.2,0.311,0.571,GSW,LAC,2014-11-05 0:00,2015,1
0.455,0.344,0.762,34.3,11.3,48.0,23.1,6.6,16.9,105.3,-1.0,-1.39,105.3,106.4,-1.1,0.29,0.515,DET,NYK,2014-11-05 0:00,2015,1
0.447,0.331,0.721,34.1,13.3,45.1,22.3,6.2,12.7,105.1,-2.88,-3.13,105.1,107.4,-3.0,0.24,0.529,BKN,MIN,2014-11-05 0:00,2015,0
0.42,0.341,0.748,34.6,12.4,45.9,21.1,5.8,14.3,100.1,-3.71,-3.07,100.1,109.2,-3.9,0.204,0.542,SAC,DEN,2014-11-05 0:00,2015,1
0.443,0.343,0.754,35.3,10.6,48.6,22.0,3.7,14.7,104.7,0.22,0.71,104.7,104.9,0.2,0.274,0.531,UTA,CLE,2014-11-05 0:00,2015,1
0.459,0.32,0.757,32.1,11.5,44.5,21.3,5.2,15.8,102.7,-8.98,-9.04,102.7,104.8,-9.3,0.319,0.494,PHI,ORL,2014-11-05 0:00,2015,0
0.468,0.318,0.78,36.2,11.2,46.9,21.5,5.7,17.1,108.5,-3.17,-3.44,108.5,103.5,-3.4,0.226,0.498,CHA,MIA,2014-11-05 0:00,2015,1
0.462,0.327,0.742,33.8,10.3,45.3,25.3,4.9,14.3,103.7,0.16,-0.4,103.7,104.5,0.2,0.28,0.523,BOS,TOR,2014-11-05 0:00,2015,0
0.444,0.363,0.715,32.9,11.1,44.2,24.7,5.1,15.2,107.0,0.43,-0.09,107.0,102.2,0.5,0.223,0.536,MIL,CHI,2014-11-05 0:00,2015,0
0.45,0.367,0.801,35.6,12.0,45.9,25.7,4.8,14.3,108.2,6.2,6.34,108.2,102.0,6.5,0.269,0.555,SAS,ATL,2014-11-05 0:00,2015,1
0.447,0.36,0.754,36.0,11.3,47.0,25.3,6.2,14.6,107.8,0.72,0.17,107.8,103.0,0.7,0.203,0.534,WAS,IND,2014-11-05 0:00,2015,1
0.432,0.348,0.703,32.9,12.4,45.0,22.8,5.7,14.7,105.3,3.44,3.82,105.3,103.4,3.6,0.392,0.548,HOU,SAS,2014-11-06 0:00,2015,1
0.433,0.362,0.734,37.0,13.3,48.2,23.1,5.0,14.3,104.5,4.23,4.41,104.5,103.7,4.5,0.316,0.544,POR,DAL,2014-11-06 0:00,2015,1
0.451,0.32,0.748,32.1,12.7,44.5,21.3,4.6,16.9,104.4,-8.98,-9.04,104.4,104.8,-9.3,0.319,0.494,PHI,CHI,2014-11-07 0:00,2015,0
0.443,0.339,0.754,36.0,11.0,49.3,21.3,4.4,15.5,104.7,2.18,2.47,104.7,105.5,2.3,0.262,0.532,OKC,MEM,2014-11-07 0:00,2015,0
0.447,0.344,0.721,34.3,11.5,48.0,23.1,3.7,12.7,105.1,-1.0,-1.39,105.1,106.4,-1.1,0.29,0.515,DET,MIL,2014-11-07 0:00,2015,1
