FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,BLK,TOV,PTS,MarginOfVictory,SimpleRatngSystem,ORtg,DRtg,NRtg,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.45,0.332,0.75,35.4,11.8,44.5,24.0,5.6,12.4,106.6,3.18,2.87,106.6,112.2,3.3,0.399,0.58,CLE,BOS,2016-11-03 0:00,2017,1
0.447,0.327,0.788,34.3,12.4,47.4,24.3,5.7,15.2,108.3,4.21,3.65,108.3,107.5,4.5,0.289,0.561,TOR,MIA,2016-11-04 0:00,2017,1
0.45,0.376,0.754,35.6,9.4,43.4,23.9,4.0,15.2,108.6,0.43,0.03,108.6,108.8,0.4,0.256,0.53,CHI,NYK,2016-11-04 0:00,2017,0
0.459,0.391,0.78,35.4,10.6,46.3,25.7,5.1,16.3,111.1,-2.1,-1.69,111.1,103.5,-2.2,0.308,0.539,NOP,PHX,2016-11-04 0:00,2017,0
0.455,0.341,0.706,33.2,10.4,45.1,23.5,6.0,15.3,104.9,1.8,1.36,104.9,105.7,1.9,0.284,0.564,WAS,ATL,2016-11-04 0:00,2017,1
0.467,0.372,0.799,34.5,10.5,43.6,22.2,4.7,15.4,111.2,-6.73,-6.74,111.2,109.3,-6.6,0.371,0.551,BKN,CHA,2016-11-04 0:00,2017,0
0.47,0.351,0.748,36.8,9.1,45.2,25.5,4.1,14.3,108.8,3.94,4.0,108.8,108.6,4.3,0.327,0.563,UTA,SAS,2016-11-04 0:00,2017,0
0.442,0.368,0.771,33.1,11.9,47.0,25.1,5.2,14.2,113.2,-2.93,-2.53,113.2,112.7,-3.2,0.366,0.541,DAL,POR,2016-11-04 0:00,2017,0
0.44,0.376,0.747,32.6,9.1,42.8,22.8,5.0,14.2,107.3,-6.88,-6.29,107.3,111.3,-7.0,0.295,0.537,LAL,GSW,2016-11-04 0:00,2017,1
0.454,0.365,0.807,34.3,11.1,45.6,24.3,4.3,14.4,107.8,0.49,0.96,107.8,106.7,0.6,0.316,0.535,MEM,LAC,2016-11-04 0:00,2017,0
0.475,0.37,0.745,35.7,9.3,42.5,26.0,4.4,13.4,109.1,7.2,7.13,109.1,109.3,7.6,0.281,0.564,SAS,LAC,2016-11-05 0:00,2017,0
0.461,0.391,0.775,33.2,10.6,46.3,23.9,4.1,14.7,111.1,-5.7,-5.83,111.1,103.5,-5.7,0.349,0.539,PHI,CLE,2016-11-05 0:00,2017,0
0.451,0.328,0.728,34.1,10.1,44.3,21.3,4.9,16.8,103.7,-0.22,-0.64,103.7,110.5,-0.2,0.272,0.558,IND,CHI,2016-11-05 0:00,2017,1
0.465,0.372,0.81,33.2,10.5,43.6,21.6,5.2,12.4,111.2,-0.18,-0.45,111.2,109.3,-0.2,0.29,0.565,MIL,SAC,2016-11-05 0:00,2017,1
0.469,0.359,0.774,34.9,9.3,43.2,23.9,4.0,14.7,111.2,0.76,1.14,111.2,108.4,0.8,0.295,0.54,OKC,MIN,2016-11-05 0:00,2017,1
0.447,0.351,0.788,34.6,9.1,45.2,25.7,5.7,11.9,108.8,-0.85,-1.23,108.8,108.6,-0.8,0.309,0.541,ATL,HOU,2016-11-05 0:00,2017,1
0.452,0.327,0.745,36.2,12.4,47.4,19.4,5.1,14.3,108.3,-1.12,-1.29,108.3,107.5,-1.1,0.263,0.521,DET,DEN,2016-11-05 0:00,2017,1
0.464,0.375,0.796,34.2,10.3,44.6,24.8,5.1,15.4,110.3,-6.57,-6.61,110.3,110.8,-6.8,0.3,0.524,ORL,WAS,2016-11-05 0:00,2017,1
0.462,0.34,0.766,34.3,9.9,43.2,22.2,4.3,15.2,103.2,-3.67,-3.87,103.2,108.9,-3.8,0.279,0.534,NYK,UTA,2016-11-06 0:00,2017,0
0.467,0.368,0.799,33.9,11.9,47.0,23.2,4.7,16.0,113.2,2.63,2.25,113.2,112.7,2.8,0.393,0.567,BOS,DEN,2016-11-06 0:00,2017,0
0.455,0.363,0.706,34.3,11.2,45.4,25.5,6.0,12.8,112.3,4.21,3.65,112.3,107.8,4.5,0.289,0.561,TOR,SAC,2016-11-06 0:00,2017,0
0.475,0.349,0.784,32.6,12.0,44.5,23.0,4.2,14.7,110.8,-6.88,-6.29,110.8,112.0,-7.0,0.295,0.537,LAL,PHX,2016-11-06 0:00,2017,1
0.466,0.365,0.747,33.1,11.1,45.6,25.1,5.4,13.0,107.8,-2.93,-2.53,107.8,106.7,-3.2,0.366,0.541,DAL,MIL,2016-11-06 0:00,2017,1
0.461,0.376,0.775,34.3,9.4,43.4,19.4,4.1,11.9,108.6,0.49,0.96,108.6,108.8,0.6,0.316,0.535,MEM,POR,2016-11-06 0:00,2017,0
0.454,0.37,0.807,33.2,9.3,42.5,24.0,4.3,12.4,109.1,1.8,1.36,109.1,109.3,1.9,0.284,0.564,WAS,HOU,2016-11-07 0:00,2017,0
0.469,0.35,0.774,34.9,8.6,44.1,23.6,4.0,15.0,105.2,11.63,11.35,105.2,107.4,11.6,0.359,0.597,GSW,NOP,2016-11-07 0:00,2017,1
0.44,0.357,0.801,35.6,10.8,44.1,21.6,4.0,14.8,114.7,0.43,0.03,114.7,109.0,0.4,0.256,0.53,CHI,ORL,2016-11-07 0:00,2017,1
0.442,0.332,0.815,36.1,11.8,44.5,23.3,4.9,16.3,106.6,0.2,-0.07,106.6,112.2,0.2,0.335,0.547,CHA,IND,2016-11-07 0:00,2017,1
0.45,0.341,0.75,35.3,10.4,45.1,24.8,5.6,14.2,104.9,4.29,4.42,104.9,105.7,4.5,0.329,0.574,LAC,DET,2016-11-07 0:00,2017,1
0.45,0.34,0.754,34.9,12.7,48.3,21.3,4.0,14.1,107.4,0.76,1.14,107.4,107.0,0.8,0.295,0.54,OKC,MIA,2016-11-07 0:00,2017,1
0.465,0.375,0.81,33.2,10.3,44.6,23.2,5.2,16.8,110.3,-5.7,-5.83,110.3,110.8,-5.7,0.349,0.539,PHI,UTA,2016-11-07 0:00,2017,0
0.452,0.384,0.745,35.4,9.6,45.0,23.4,5.1,15.3,113.6,3.18,2.87,113.6,110.3,3.3,0.399,0.58,CLE,ATL,2016-11-08 0:00,2017,0
0.47,0.383,0.748,34.5,9.4,44.3,22.1,4.1,13.7,115.6,-6.73,-6.74,115.6,104.0,-6.6,0.371,0.551,BKN,MIN,2016-11-08 0:00,2017,1
0.45,0.349,0.75,34.3,12.0,44.5,25.1,5.6,15.3,110.8,0.49,0.96,110.8,112.0,0.6,0.316,0.535,MEM,DEN,2016-11-08 0:00,2017,1
0.475,0.327,0.784,34.3,12.4,47.4,21.9,4.2,12.4,108.3,-0.52,-0.23,108.3,107.5,-0.5,0.322,0.559,POR,PHX,2016-11-08 0:00,2017,1
0.462,0.376,0.766,32.6,9.4,43.4,25.1,4.3,14.7,108.6,-6.88,-6.29,108.6,108.8,-7.0,0.295,0.537,LAL,DAL,2016-11-08 0:00,2017,0
0.474,0.375,0.768,33.7,9.3,44.6,23.0,5.6,13.7,112.7,-3.88,-3.29,112.7,108.2,-4.0,0.291,0.556,SAC,NOP,2016-11-08 0:00,2017,1
0.442,0.33,0.771,34.2,11.6,47.8,22.5,5.2,15.2,106.0,-6.57,-6.61,106.0,107.1,-6.8,0.3,0.524,ORL,MIN,2016-11-09 0:00,2017,0
0.435,0.391,0.784,35.3,10.6,46.3,21.2,4.5,14.2,111.1,4.29,4.42,111.1,103.5,4.5,0.329,0.574,LAC,POR,2016-11-09 0:00,2017,1
0.44,0.372,0.747,34.3,10.2,47.0,21.6,5.0,13.7,109.6,-3.67,-3.87,109.6,105.3,-3.8,0.279,0.534,NYK,BKN,2016-11-09 0:00,2017,1
0.475,0.357,0.745,34.9,10.8,44.1,22.2,4.4,13.8,114.7,11.63,11.35,114.7,109.0,11.6,0.359,0.597,GSW,DAL,2016-11-09 0:00,2017,1
0.449,0.35,0.719,32.7,8.6,44.1,24.8,4.0,16.8,105.2,-5.63,-5.14,105.2,107.4,-5.6,0.255,0.538,PHX,DET,2016-11-09 0:00,2017,1
0.469,0.348,0.774,34.9,12.4,46.7,23.3,4.0,14.0,107.7,0.76,1.14,107.7,111.5,0.8,0.295,0.54,OKC,TOR,2016-11-09 0:00,2017,0
0.452,0.346,0.745,34.1,11.5,44.1,23.9,5.1,14.8,106.0,-0.22,-0.64,106.0,113.0,-0.2,0.272,0.558,IND,PHI,2016-11-09 0:00,2017,1
0.444,0.375,0.788,35.7,10.3,44.6,22.8,4.6,14.3,110.3,7.2,7.13,110.3,110.8,7.6,0.281,0.564,SAS,HOU,2016-11-09 0:00,2017,0
0.461,0.365,0.775,34.6,11.1,45.6,26.0,4.1,15.3,107.8,-0.85,-1.23,107.8,106.7,-0.8,0.309,0.541,ATL,CHI,2016-11-09 0:00,2017,1
0.45,0.349,0.754,33.2,12.0,44.5,23.4,4.0,14.1,110.8,1.8,1.36,110.8,112.0,1.9,0.284,0.564,WAS,BOS,2016-11-09 0:00,2017,1
0.447,0.384,0.788,36.1,9.6,45.0,23.5,5.7,15.4,113.6,0.2,-0.07,113.6,110.3,0.2,0.335,0.547,CHA,UTA,2016-11-09 0:00,2017,1
0.465,0.34,0.81,35.1,9.9,43.2,24.0,5.2,14.4,103.2,0.51,0.7,103.2,108.9,0.5,0.329,0.568,DEN,GSW,2016-11-10 0:00,2017,0
0.469,0.328,0.797,33.7,10.1,44.3,23.2,6.2,11.9,103.7,-3.88,-3.29,103.7,110.5,-4.0,0.291,0.556,SAC,LAL,2016-11-10 0:00,2017,0
0.475,0.359,0.784,34.5,9.3,43.2,25.7,4.2,14.7,111.2,1.06,0.77,111.2,108.4,1.1,0.314,0.541,MIA,CHI,2016-11-10 0:00,2017,0
0.475,0.375,0.745,33.2,9.3,44.6,22.5,4.4,15.2,112.7,-0.18,-0.45,112.7,108.2,-0.2,0.29,0.565,MIL,NOP,2016-11-10 0:00,2017,0
0.467,0.376,0.799,35.7,9.1,42.8,21.3,4.7,14.0,107.3,7.2,7.13,107.3,111.3,7.6,0.281,0.564,SAS,DET,2016-11-11 0:00,2017,1
0.442,0.341,0.771,34.2,10.4,45.1,19.4,5.2,14.0,104.9,-6.57,-6.61,104.9,105.7,-6.8,0.3,0.524,ORL,UTA,2016-11-11 0:00,2017,0
0.449,0.376,0.719,33.2,9.4,43.4,25.1,4.0,12.8,108.6,1.8,1.36,108.6,108.8,1.9,0.284,0.564,WAS,CLE,2016-11-11 0:00,2017,0
0.474,0.368,0.768,33.9,11.9,47.0,24.8,5.6,13.7,113.2,2.63,2.25,113.2,112.7,2.8,0.393,0.567,BOS,NYK,2016-11-11 0:00,2017,1
0.442,0.348,0.815,36.1,12.4,46.7,22.2,4.9,15.3,107.7,0.2,-0.07,107.7,111.5,0.2,0.335,0.547,CHA,TOR,2016-11-11 0:00,2017,0
0.447,0.327,0.788,34.9,12.4,47.4,24.3,5.7,16.8,108.3,0.76,1.14,108.3,107.5,0.8,0.295,0.54,OKC,LAC,2016-11-11 0:00,2017,0
0.45,0.363,0.754,34.3,11.2,45.4,21.9,4.0,14.2,112.3,-0.52,-0.23,112.3,107.8,-0.5,0.322,0.559,POR,SAC,2016-11-11 0:00,2017,1
0.469,0.357,0.774,33.2,10.8,44.1,23.5,4.0,15.4,114.7,-5.7,-5.83,114.7,109.0,-5.7,0.349,0.539,PHI,IND,2016-11-11 0:00,2017,1
0.451,0.349,0.728,35.1,12.0,44.5,26.0,4.9,16.3,110.8,0.51,0.7,110.8,112.0,0.5,0.329,0.568,DEN,DET,2016-11-12 0:00,2017,0
0.44,0.365,0.801,34.3,11.1,45.6,25.7,4.0,14.7,107.8,4.21,3.65,107.8,106.7,4.5,0.289,0.561,TOR,NYK,2016-11-12 0:00,2017,1
0.495,0.372,0.788,32.5,10.5,43.6,22.4,6.7,13.8,111.2,-1.11,-0.64,111.2,109.3,-1.2,0.249,0.555,MIN,LAC,2016-11-12 0:00,2017,0
0.45,0.372,0.75,34.5,10.2,47.0,23.9,5.6,14.4,109.6,1.06,0.77,109.6,105.3,1.1,0.314,0.541,MIA,UTA,2016-11-12 0:00,2017,0
0.442,0.376,0.815,34.1,9.1,42.8,23.0,4.9,14.3,107.3,-0.22,-0.64,107.3,111.3,-0.2,0.272,0.558,IND,BOS,2016-11-12 0:00,2017,0
0.449,0.359,0.719,33.2,9.3,43.2,21.2,4.0,14.0,111.2,-0.18,-0.45,111.2,108.4,-0.2,0.29,0.565,MIL,MEM,2016-11-12 0:00,2017,1
0.462,0.368,0.766,35.4,11.9,47.0,23.2,4.3,14.7,113.2,-2.1,-1.69,113.2,112.7,-2.2,0.308,0.539,NOP,LAL,2016-11-12 0:00,2017,0
0.466,0.355,0.747,33.3,8.5,41.6,21.3,5.4,13.3,105.6,5.77,5.84,105.6,108.8,5.7,0.462,0.583,HOU,SAS,2016-11-12 0:00,2017,0
0.444,0.351,0.788,32.7,9.1,45.2,23.3,4.6,14.2,108.8,-5.63,-5.14,108.8,108.6,-5.6,0.255,0.538,PHX,BKN,2016-11-12 0:00,2017,0
0.465,0.35,0.81,34.6,8.6,44.1,23.0,5.2,16.3,105.2,-0.85,-1.23,105.2,107.4,-0.8,0.309,0.541,ATL,PHI,2016-11-12 0:00,2017,1
0.47,0.346,0.748,35.6,11.5,44.1,24.3,4.1,11.9,106.0,0.43,0.03,106.0,113.0,0.4,0.256,0.53,CHI,WAS,2016-11-12 0:00,2017,1
0.442,0.376,0.771,34.3,9.4,43.4,25.1,5.2,14.7,108.6,-0.52,-0.23,108.6,108.8,-0.5,0.322,0.559,POR,DEN,2016-11-13 0:00,2017,1
0.461,0.327,0.775,35.4,12.4,47.4,25.5,4.1,14.8,108.3,3.18,2.87,108.3,107.5,3.3,0.399,0.58,CLE,CHA,2016-11-13 0:00,2017,1
0.44,0.384,0.747,34.9,9.6,45.0,23.9,5.0,13.0,113.6,11.63,11.35,113.6,110.3,11.6,0.359,0.597,GSW,PHX,2016-11-13 0:00,2017,1
0.45,0.35,0.776,32.5,8.6,44.1,22.8,4.8,15.3,105.2,-1.11,-0.64,105.2,107.4,-1.2,0.249,0.555,MIN,LAL,2016-11-13 0:00,2017,1
0.449,0.372,0.719,34.9,10.5,43.6,22.8,4.0,15.2,111.2,0.76,1.14,111.2,109.3,0.8,0.295,0.54,OKC,ORL,2016-11-13 0:00,2017,0
0.474,0.357,0.768,34.1,10.8,44.1,23.4,5.6,13.3,114.7,-0.22,-0.64,114.7,109.0,-0.2,0.272,0.558,IND,ORL,2016-11-14 0:00,2017,1
0.454,0.37,0.807,35.3,9.3,42.5,22.1,4.3,14.0,109.1,4.29,4.42,109.1,109.3,4.5,0.329,0.574,LAC,BKN,2016-11-14 0:00,2017,1
0.469,0.34,0.774,36.2,9.9,43.2,25.7,4.0,12.8,103.2,-1.12,-1.29,103.2,108.9,-1.1,0.263,0.521,DET,OKC,2016-11-14 0:00,2017,1
0.465,0.354,0.81,35.7,11.6,45.8,21.3,5.2,14.2,107.7,7.2,7.13,107.7,107.1,7.6,0.281,0.564,SAS,MIA,2016-11-14 0:00,2017,1
0.44,0.328,0.747,36.8,10.1,44.3,21.1,5.0,15.2,103.7,3.94,4.0,103.7,110.5,4.3,0.327,0.563,UTA,MEM,2016-11-14 0:00,2017,0
0.435,0.375,0.784,33.3,9.3,44.6,23.5,4.5,14.7,112.7,5.77,5.84,112.7,108.2,5.7,0.462,0.583,HOU,PHI,2016-11-14 0:00,2017,1
0.442,0.33,0.771,35.4,11.6,47.8,21.2,5.2,13.7,106.0,-2.1,-1.69,106.0,107.1,-2.2,0.308,0.539,NOP,BOS,2016-11-14 0:00,2017,1
0.459,0.368,0.78,34.3,11.9,47.0,22.5,5.1,14.8,113.2,-3.67,-3.87,113.2,112.7,-3.8,0.279,0.534,NYK,DAL,2016-11-14 0:00,2017,1
0.466,0.327,0.747,32.6,12.4,47.4,23.2,5.4,14.7,108.3,-6.88,-6.29,108.3,107.5,-7.0,0.295,0.537,LAL,BKN,2016-11-15 0:00,2017,1
0.447,0.338,0.788,34.3,8.7,43.2,25.1,5.7,11.9,104.1,-0.52,-0.23,104.1,110.7,-0.5,0.322,0.559,POR,CHI,2016-11-15 0:00,2017,0
0.461,0.376,0.775,34.5,9.1,42.8,24.3,4.1,14.1,107.3,1.06,0.77,107.3,111.3,1.1,0.314,0.541,MIA,ATL,2016-11-15 0:00,2017,0
0.47,0.346,0.748,32.5,11.5,44.1,23.4,4.1,13.8,106.0,-1.11,-0.64,106.0,113.0,-1.2,0.249,0.555,MIN,CHA,2016-11-15 0:00,2017,0
0.45,0.348,0.754,35.4,12.4,46.7,24.8,4.0,16.3,107.7,3.18,2.87,107.7,111.5,3.3,0.399,0.58,CLE,TOR,2016-11-15 0:00,2017,1
0.475,0.376,0.784,33.2,9.4,43.4,23.9,4.2,16.0,108.6,-5.7,-5.83,108.6,108.8,-5.7,0.349,0.539,PHI,WAS,2016-11-16 0:00,2017,1
0.442,0.391,0.815,34.2,10.6,46.3,22.1,4.9,15.2,111.1,-6.57,-6.61,111.1,103.5,-6.8,0.3,0.524,ORL,NOP,2016-11-16 0:00,2017,1
0.495,0.372,0.788,33.9,10.5,43.6,25.5,6.7,16.8,111.2,2.63,2.25,111.2,109.3,2.8,0.393,0.567,BOS,DAL,2016-11-16 0:00,2017,1
0.452,0.375,0.745,35.3,9.3,44.6,23.9,5.1,13.3,112.7,4.29,4.42,112.7,108.2,4.5,0.329,0.574,LAC,MEM,2016-11-16 0:00,2017,0
0.455,0.349,0.706,33.7,12.0,44.5,22.5,6.0,14.2,110.8,-3.88,-3.29,110.8,112.0,-4.0,0.291,0.556,SAC,SAS,2016-11-16 0:00,2017,0
0.459,0.34,0.78,34.6,9.9,43.2,21.2,5.1,14.2,103.2,-0.85,-1.23,103.2,108.9,-0.8,0.309,0.541,ATL,MIL,2016-11-16 0:00,2017,1
0.44,0.33,0.801,34.1,11.6,47.8,25.7,4.0,13.0,106.0,-0.22,-0.64,106.0,107.1,-0.2,0.272,0.558,IND,CLE,2016-11-16 0:00,2017,1
0.44,0.37,0.747,35.1,9.3,42.5,24.0,5.0,13.7,109.1,0.51,0.7,109.1,109.3,0.5,0.329,0.568,DEN,PHX,2016-11-16 0:00,2017,1
0.45,0.351,0.776,34.3,9.1,45.2,22.4,4.8,14.3,108.8,-3.67,-3.87,108.8,108.6,-3.8,0.279,0.534,NYK,DET,2016-11-16 0:00,2017,1
0.442,0.348,0.771,34.9,12.4,46.7,23.0,5.2,14.8,107.7,0.76,1.14,107.7,111.5,0.8,0.295,0.54,OKC,HOU,2016-11-16 0:00,2017,1
0.465,0.346,0.81,34.3,11.5,44.1,23.9,5.2,11.9,106.0,4.21,3.65,106.0,113.0,4.5,0.289,0.561,TOR,GSW,2016-11-16 0:00,2017,0
0.45,0.368,0.754,33.3,11.9,47.0,22.1,4.0,14.7,113.2,5.77,5.84,113.2,112.7,5.7,0.462,0.583,HOU,POR,2016-11-17 0:00,2017,1
0.444,0.341,0.788,32.5,10.4,45.1,25.1,4.6,13.8,104.9,-1.11,-0.64,104.9,105.7,-1.2,0.249,0.555,MIN,PHI,2016-11-17 0:00,2017,1
0.495,0.355,0.788,34.5,8.5,41.6,21.9,6.7,12.8,105.6,1.06,0.77,105.6,108.8,1.1,0.314,0.541,MIA,MIL,2016-11-17 0:00,2017,1
0.435,0.383,0.784,33.2,9.4,44.3,21.1,4.5,16.8,115.6,1.8,1.36,115.6,104.0,1.9,0.284,0.564,WAS,NYK,2016-11-17 0:00,2017,1
0.475,0.35,0.784,36.8,8.6,44.1,23.2,4.2,13.3,105.2,3.94,4.0,105.2,107.4,4.3,0.327,0.563,UTA,CHI,2016-11-17 0:00,2017,0
0.447,0.351,0.788,33.7,9.1,45.2,23.3,5.7,14.7,108.8,-3.88,-3.29,108.8,108.6,-4.0,0.291,0.556,SAC,LAC,2016-11-18 0:00,2017,0
0.455,0.33,0.706,33.9,11.6,47.8,23.9,6.0,14.0,106.0,2.63,2.25,106.0,107.1,2.8,0.393,0.567,BOS,GSW,2016-11-18 0:00,2017,0
0.467,0.357,0.799,35.1,10.8,44.1,23.5,4.7,12.4,114.7,0.51,0.7,114.7,109.0,0.5,0.329,0.568,DEN,TOR,2016-11-18 0:00,2017,0
0.464,0.372,0.796,33.1,10.2,47.0,22.8,5.1,15.2,109.6,-2.93,-2.53,109.6,105.3,-3.2,0.366,0.541,DAL,MEM,2016-11-18 0:00,2017,0
0.469,0.338,0.797,36.1,8.7,43.2,19.4,6.2,13.4,104.1,0.2,-0.07,104.1,110.7,0.2,0.335,0.547,CHA,ATL,2016-11-18 0:00,2017,1
0.444,0.376,0.788,35.4,9.4,43.4,22.1,4.6,14.3,108.6,-2.1,-1.69,108.6,108.8,-2.2,0.308,0.539,NOP,POR,2016-11-18 0:00,2017,1
0.442,0.384,0.815,32.6,9.6,45.0,25.5,4.9,16.0,113.6,-6.88,-6.29,113.6,110.3,-7.0,0.295,0.537,LAL,SAS,2016-11-18 0:00,2017,0
0.474,0.34,0.768,34.1,9.9,43.2,26.0,5.6,14.7,103.2,-0.22,-0.64,103.2,108.9,-0.2,0.272,0.558,IND,PHX,2016-11-18 0:00,2017,0
0.466,0.376,0.747,34.9,9.1,42.8,25.7,5.4,14.7,107.3,0.76,1.14,107.3,111.3,0.8,0.295,0.54,OKC,BKN,2016-11-18 0:00,2017,1
0.45,0.328,0.75,35.4,10.1,44.3,23.2,5.6,12.8,103.7,3.18,2.87,103.7,110.5,3.3,0.399,0.58,CLE,DET,2016-11-18 0:00,2017,1
0.45,0.332,0.776,35.4,11.8,44.5,22.8,4.8,13.0,106.6,-2.1,-1.69,106.6,112.2,-2.2,0.308,0.539,NOP,CHA,2016-11-19 0:00,2017,1
0.452,0.33,0.745,33.2,11.6,47.8,22.8,5.1,15.4,106.0,1.8,1.36,106.0,107.1,1.9,0.284,0.564,WAS,MIA,2016-11-19 0:00,2017,0
0.464,0.37,0.796,33.3,9.3,42.5,23.9,5.1,13.3,109.1,5.77,5.84,109.1,109.3,5.7,0.462,0.583,HOU,UTA,2016-11-19 0:00,2017,1
0.459,0.359,0.78,33.2,9.3,43.2,21.6,5.1,14.2,111.2,-0.18,-0.45,111.2,108.4,-0.2,0.29,0.565,MIL,GSW,2016-11-19 0:00,2017,0
0.44,0.368,0.801,33.2,11.9,47.0,21.9,4.0,16.8,113.2,-5.7,-5.83,113.2,112.7,-5.7,0.349,0.539,PHI,PHX,2016-11-19 0:00,2017,1
0.444,0.376,0.798,34.3,9.4,43.4,22.5,5.0,15.0,108.6,0.49,0.96,108.6,108.8,0.6,0.316,0.535,MEM,MIN,2016-11-19 0:00,2017,1
0.469,0.328,0.774,34.2,10.1,44.3,23.5,4.0,16.3,103.7,-6.57,-6.61,103.7,110.5,-6.8,0.3,0.524,ORL,DAL,2016-11-19 0:00,2017,1
0.467,0.354,0.799,35.3,11.6,45.8,23.3,4.7,13.8,107.7,4.29,4.42,107.7,107.1,4.5,0.329,0.574,LAC,CHI,2016-11-19 0:00,2017,1
0.454,0.34,0.807,36.2,9.9,43.2,21.2,4.3,14.8,103.2,-1.12,-1.29,103.2,108.9,-1.1,0.263,0.521,DET,BOS,2016-11-19 0:00,2017,0
0.466,0.375,0.747,35.1,10.3,44.6,24.3,5.4,14.0,110.3,0.51,0.7,110.3,110.8,0.5,0.329,0.568,DEN,UTA,2016-11-20 0:00,2017,1
0.495,0.372,0.788,34.9,10.2,47.0,23.9,6.7,14.4,109.6,0.76,1.14,109.6,105.3,0.8,0.295,0.54,OKC,IND,2016-11-20 0:00,2017,0
0.442,0.348,0.815,34.5,12.4,46.7,21.3,4.9,12.4,107.7,-6.73,-6.74,107.7,111.5,-6.6,0.371,0.551,BKN,POR,2016-11-20 0:00,2017,0
0.47,0.376,0.748,33.7,9.1,42.8,22.2,4.1,14.7,107.3,-3.88,-3.29,107.3,111.3,-4.0,0.291,0.556,SAC,TOR,2016-11-20 0:00,2017,1
0.435,0.384,0.784,32.6,9.6,45.0,21.6,4.5,15.0,113.6,-6.88,-6.29,113.6,110.3,-7.0,0.295,0.537,LAL,CHI,2016-11-20 0:00,2017,0
0.444,0.346,0.788,34.3,11.5,44.1,22.4,4.6,13.7,106.0,-3.67,-3.87,106.0,113.0,-3.8,0.279,0.534,NYK,ATL,2016-11-20 0:00,2017,1
0.451,0.372,0.728,34.1,10.5,43.6,22.8,4.9,14.7,111.2,-0.22,-0.64,111.2,109.3,-0.2,0.272,0.558,IND,GSW,2016-11-21 0:00,2017,0
0.469,0.351,0.774,35.7,9.1,45.2,19.4,4.0,16.0,108.8,7.2,7.13,108.8,108.6,7.6,0.281,0.564,SAS,DAL,2016-11-21 0:00,2017,1
0.442,0.383,0.771,33.2,9.4,44.3,23.9,5.2,11.9,115.6,1.8,1.36,115.6,104.0,1.9,0.284,0.564,WAS,PHX,2016-11-21 0:00,2017,1
0.464,0.327,0.796,35.3,12.4,47.4,23.2,5.1,14.3,108.3,4.29,4.42,108.3,107.5,4.5,0.329,0.574,LAC,TOR,2016-11-21 0:00,2017,1
0.444,0.365,0.798,32.5,11.1,45.6,21.2,5.0,12.8,107.8,-1.11,-0.64,107.8,106.7,-1.2,0.249,0.555,MIN,BOS,2016-11-21 0:00,2017,0
0.469,0.375,0.797,33.2,10.3,44.6,21.1,6.2,13.4,110.3,-5.7,-5.83,110.3,110.8,-5.7,0.349,0.539,PHI,MIA,2016-11-21 0:00,2017,1
0.45,0.355,0.75,36.2,8.5,41.6,22.8,5.6,16.3,105.6,-1.12,-1.29,105.6,108.8,-1.1,0.263,0.521,DET,HOU,2016-11-21 0:00,2017,0
0.454,0.328,0.807,33.2,10.1,44.3,24.3,4.3,15.3,103.7,-0.18,-0.45,103.7,110.5,-0.2,0.29,0.565,MIL,ORL,2016-11-21 0:00,2017,1
0.447,0.332,0.788,36.1,11.8,44.5,22.5,5.7,14.4,106.6,0.2,-0.07,106.6,112.2,0.2,0.335,0.547,CHA,MEM,2016-11-21 0:00,2017,0
0.466,0.34,0.747,34.3,9.9,43.2,22.2,5.4,13.8,103.2,-3.67,-3.87,103.2,108.9,-3.8,0.279,0.534,NYK,POR,2016-11-22 0:00,2017,1
0.442,0.376,0.815,32.6,9.4,43.4,24.8,4.9,13.3,108.6,-6.88,-6.29,108.6,108.8,-7.0,0.295,0.537,LAL,OKC,2016-11-22 0:00,2017,1
0.495,0.346,0.788,35.1,11.5,44.1,19.4,6.7,14.2,106.0,0.51,0.7,106.0,113.0,0.5,0.329,0.568,DEN,CHI,2016-11-22 0:00,2017,1
0.435,0.338,0.784,34.6,8.7,43.2,25.1,4.5,13.0,104.1,-0.85,-1.23,104.1,110.7,-0.8,0.309,0.541,ATL,NOP,2016-11-22 0:00,2017,0
0.44,0.383,0.801,33.1,9.4,44.3,21.1,4.0,14.8,115.6,-2.93,-2.53,115.6,104.0,-3.2,0.366,0.541,DAL,LAC,2016-11-23 0:00,2017,0
0.442,0.354,0.771,34.9,11.6,45.8,23.9,5.2,15.2,107.7,11.63,11.35,107.7,107.1,11.6,0.359,0.597,GSW,LAL,2016-11-23 0:00,2017,1
0.464,0.372,0.796,35.4,10.5,43.6,25.5,5.1,15.3,111.2,-2.1,-1.69,111.2,109.3,-2.2,0.308,0.539,NOP,MIN,2016-11-23 0:00,2017,1
0.474,0.348,0.768,36.1,12.4,46.7,21.9,5.6,14.7,107.7,0.2,-0.07,107.7,111.5,0.2,0.335,0.547,CHA,SAS,2016-11-23 0:00,2017,0
0.459,0.365,0.78,36.2,11.1,45.6,23.0,5.1,13.7,107.8,-1.12,-1.29,107.8,106.7,-1.1,0.263,0.521,DET,MIA,2016-11-23 0:00,2017,1
