FG.,percent_3pt,percent_2pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,MarginOfVictory,StrengthOfSchedule,SimpleRatngSystem,ORtg,DRtg,NRtg,Pace,FTr,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
1.1222926153388915,0.8992850335780832,0.8836754549717405,0.8268829884495946,0.8428579192997466,-0.7538062130959999,0.1925978765574394,1.3352797648775472,0.2621094849786162,0.7258590642065043,-0.2706257902997303,-0.8407109262026593,0.7137197386652182,1.2596190688695377,0.38684429327986075,1.3290895801583615,0.7137197386652182,-1.4391547997355782,1.2674235146547874,-0.48137144114603275,-0.6628714708653792,-0.1460971430078542,0.9593421011460508,SAS,DAL,2014-10-28 0:00,2015,1
-1.006193379269343,-0.38807320951087915,-1.5017061412709964,-0.4287342685082621,-0.351190799708227,0.9278749668050591,0.30371203610980846,-0.6226601809798888,-0.7725332188843403,-0.5009449879735027,-0.9402153745464831,0.8718483679138711,-0.75204026154657,-1.3897867042460232,1.8340970610798104,-1.2927622959700644,-0.75204026154657,1.6383581578423592,-1.4018619812361561,-0.3888000101564103,0.030025537007840015,-1.1473223188658779,-1.3719424648019114,LAL,HOU,2014-10-28 0:00,2015,0
0.4127972838028134,1.0672013261549045,-0.25480212505320354,-0.10678112569855522,0.2809526397665806,1.1934035741578588,0.9703969934240109,0.43568573569980645,-0.8759974892706366,2.0753435216045113,-0.521721884392262,-0.6850237176466116,0.6274985621821726,0.16044075348953896,0.9329774132043699,0.2371752496524382,0.6274985621821726,0.45745202295780196,0.17632871341469372,-1.5922286130214822,-0.4203575181097525,-0.8816911497606877,-0.039779855688790174,NOP,ORL,2014-10-28 0:00,2015,1
0.28379813261443554,0.05970357069397734,0.558396146393185,1.0522501884163895,-1.0535723991246808,0.3083082163151954,-0.6407583200853165,-0.5697428851459033,-0.1517475965665668,-0.623625393191504,-1.023914072577327,0.8718483679138711,1.4322295426906053,0.6236804132060634,-1.6884615624332742,0.513821490778699,1.4322295426906053,0.6005921605195687,0.6439407710890196,-0.9442285960941383,0.6882776944873964,0.5281973631822425,0.848328550386624,TOR,ATL,2014-10-29 0:00,2015,1
0.34829770820862443,-0.8918220872413395,0.558396146393185,-0.4287342685082621,-1.0535723991246808,-1.0193348204487995,-1.4741145167280725,-0.728494772647858,0.4690380257512068,-0.13290377231950082,0.9848546801629329,0.5604739508017729,-0.6083383007414925,-0.5283234774047672,-0.8692618825465106,-0.6116257174394982,-0.6083383007414925,0.2427418166151571,-0.5445732088332254,-1.823657190495535,1.0693710488176669,-0.28912931098757194,0.12674047045034997,MIA,WAS,2014-10-29 0:00,2015,1
-0.03869974535650905,0.6194245459500479,0.12469040162177777,1.502984588349979,1.8261921584827812,0.13128914474666337,1.4704107114096676,-0.04056992680605569,-1.4967831115884103,-0.37826458275550245,-0.6054205824231059,-1.5413033647048782,0.6274985621821726,0.8593637488513127,0.49607091726476255,0.924599242754056,0.6274985621821726,-0.8308092150980776,0.8777467999261825,-0.29622857916678785,-1.736861833068868,0.8142616991416781,0.34876757196920355,POR,OKC,2014-10-29 0:00,2015,1
-0.4901967745158315,-1.339598867446196,-0.03794925266749994,-0.01019518285564316,-0.4214289596498733,0.3083082163151954,-0.14074460209966377,1.1236105815416089,0.3655737553649115,-1.7277490401535096,-0.6054205824231059,0.5604739508017729,-0.3784151634533695,0.03244032119944667,-1.5246216264559216,-0.08348289347118222,-0.3784151634533695,-0.5445289399745494,0.03994186325968201,0.4443428687501785,-1.4597030299195803,0.07866769238884509,-0.8168747110047776,BOS,BKN,2014-10-29 0:00,2015,1
-0.2321984721390758,-0.4440453070364831,-0.14637568886035174,-1.0726405541276758,0.6321434394748076,1.90147986043199,1.6926390305144017,-0.6226601809798888,0.2621094849786162,1.8299827111685099,1.5707455663788417,0.09341232513362974,-0.26345359480931,0.044630838560407844,1.3425772531477518,0.14915144565771887,-0.26345359480931,-0.40138880241278274,0.03994186325968201,-2.055085767969588,0.7575673952747183,-0.043931308736627254,-0.3728205079670705,UTA,HOU,2014-10-29 0:00,2015,0
-1.9736870131821767,-1.8433477451766596,-2.0980515403316815,-0.20336706854146727,1.26428687894962,-0.4882776057432019,0.7481686743192767,-0.8872466601498127,-1.7037116523610016,0.8485394694245045,-1.9445997509166144,-1.3856161561488305,-1.7004732028600844,-0.6441333923338982,-0.7327286025653833,-0.7206075700043889,-1.7004732028600844,-0.9023792838789609,-0.6614762232518069,-0.851657165104516,-0.21248841574778674,-1.0247233177404056,-2.2045440954976123,CHA,MIL,2014-10-29 0:00,2015,1
0.09029940583186878,-0.5559895020876972,0.4499697102003332,0.18297670283018094,-0.913096079241388,0.04277960896239579,-0.6407583200853165,-1.2576677309877058,0.6759665665237993,-0.37826458275550245,0.39896379394702397,0.5604739508017729,-0.2059728104872782,-0.18292548551086732,1.4244972211364284,-0.07929128375714797,-0.2059728104872782,0.0638166446629513,-0.1743803298410507,0.6757714462242314,-0.836095722833684,0.30343252778554325,-0.039779855688790174,PHX,LAL,2014-10-29 0:00,2015,1
