FG.,percent_3pt,percent_2pt,percent_FT,DRB,ORB,TRB,AST,STL,PTS,MarginOfVictory,SimpleRatngSystem,ORtg,DRtg,NRtg,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.8648370692333459,0.693802159378572,0.3225059036439824,0.6112264088823873,0.9174660056066384,-0.2985979074578732,0.4610310195178535,1.33014013827425,0.445755477298722,0.3147123821234283,1.340104895045802,1.416038178321449,0.3147123821234283,-1.8240548421981488,1.3591474305706297,-0.59603346043478,0.4559884469951086,SAS,DAL,2014-10-28 0:00,2015,1
-1.2756346771191822,-0.6575697248026949,-1.7143734877917252,-0.7118723855531228,-0.4156042589500159,1.2486821584602013,0.5759297159709035,-0.709068437220707,-0.74823240832285,-1.0994137401933075,-1.478589846294688,-1.3772609640087912,-1.0994137401933075,1.1039659964213686,-1.5088263543839526,-1.547174978714804,-1.6739297854936153,LAL,HOU,2014-10-28 0:00,2015,0
0.1513464871158365,0.8700680573152589,-0.6496410786321519,-0.3726162844158125,0.2901388222858576,1.4929895372893716,1.265321894689191,0.3932064684522429,-0.8676311968850079,0.2315284925753857,0.1706924295050005,0.2527217489417088,0.2315284925753857,-0.0195768835140274,0.1868369783264207,-1.2948313105996956,-0.4568336526429158,NOP,ORL,2014-10-28 0:00,2015,1
0.0216209267308348,-0.1875273303048629,0.0447496229936583,0.8487056796785045,-1.1997632381009875,0.6786316078588055,-0.400709203880009,-0.6539546919370587,-0.0318396769499072,1.0079114616904563,0.663531694095209,0.5474583490916622,1.0079114616904563,0.1166101322357196,0.6892557435739388,0.0445312355497252,0.3545637692575503,TOR,ATL,2014-10-29 0:00,2015,1
0.0864837069233356,-1.1863674186127526,0.0447496229936583,-0.7118723855531228,-1.1997632381009875,-0.5429052862870436,-1.2624494272778717,-0.8192959277880015,0.6845530544230356,-0.9607739242799022,-0.5620817402146514,-0.6515837287911028,-0.9607739242799022,-0.2238574071386431,-0.5877252847635027,-0.7319108201890693,-0.3046966360365785,MIA,WAS,2014-10-29 0:00,2015,1
-0.3026929742316694,0.400025662817427,-0.3255920845401071,1.323664221270739,2.0152885764179977,0.5157600219726929,1.782366028727912,-0.1028172391005837,-1.584023928257951,0.2315284925753857,0.9142744778340868,0.985097543253714,0.2315284925753857,-1.2452600252617312,0.9404651261976976,0.3162859550583037,-0.1018472805614619,POR,OKC,2014-10-29 0:00,2015,1
-0.7567324355791755,-1.6564098131105849,-0.4644702248652692,-0.2708394540746194,-0.4940201568651142,0.6786316078588055,0.1163349301587076,1.1096851571396606,0.5651542658608788,-0.7389502188184539,0.0345131590261271,-0.0889047648684644,-0.7389502188184539,-0.972885993762242,0.0402981717958946,-0.3825118951066112,-1.1668063968058238,BOS,BKN,2014-10-29 0:00,2015,1
-0.497281314809172,-0.7163250241149207,-0.5570556517487105,-1.3903845878277434,0.6822183118613435,2.144475880833825,2.012163421634008,-0.709068437220707,0.445755477298722,-0.6280383660877317,0.0474826133574484,0.158941921621269,-0.6280383660877317,-0.836698978012495,0.0402981717958946,-0.4989782034674306,-0.7611076858555907,UTA,HOU,2014-10-29 0:00,2015,0
-2.248576380006695,-2.1852075069206456,-2.2235933356506528,-0.4743931147570056,1.3879613930972226,-0.0542905286287042,1.0355245017830952,-0.9846371636389444,-1.8228215053822652,-2.014436525221788,-0.6852915563622035,-0.7676920864259329,-2.014436525221788,-1.3133535331366046,-0.7133299760753823,-1.4307086703539846,-2.434614868525302,CHA,MIL,2014-10-29 0:00,2015,1
-0.1729674138466677,-0.8338356227393786,-0.047835803889783,-0.0672857933922332,-1.0429314422707912,0.4343242290296351,-0.400709203880009,-1.3704333806244766,0.9233506315473512,-0.5725824397223687,-0.194613867493882,-0.0844390588055864,-0.5725824397223687,-0.3940911768258244,-0.1899770956092177,-0.1689903297784435,-0.4568336526429158,PHX,LAL,2014-10-29 0:00,2015,1
0.0216209267308348,-0.8338356227393786,-0.6496410786321519,0.0005654268352287,0.1333070264556665,0.5157600219726929,0.4610310195178535,-1.2050921447735337,-1.2258275625714792,-0.5725824397223687,-0.802016645344095,-0.6850765242626884,-0.5725824397223687,0.6273114412972637,-0.8180005521686152,-1.8577518010103224,-0.2032719582990202,SAC,GSW,2014-10-29 0:00,2015,0
-1.7296741384666885,-0.4813038268660079,-2.03842248188377,0.238044697631346,-1.5918427276764735,0.6786316078588055,-0.6879559450126299,-0.1028172391005837,-0.5094348311985365,-2.0698924515871475,-2.0146606253226342,-2.120801023477992,-2.0698924515871475,0.8996854727967529,-2.1159156957247034,-1.1589539508454068,-1.927491479837511,NYK,CHI,2014-10-29 0:00,2015,0
0.2162092673083373,-0.9513462213638366,-0.6033483651904312,0.3737471380862701,0.0548911285405682,0.4343242290296351,0.4035816712913285,0.0074102514667108,1.4009457857959784,-0.4616705869916425,0.7002784813672859,0.8087021537700301,-0.4616705869916425,-1.7559613343232754,0.731123974011232,-2.24597282887972,-0.7611076858555907,MEM,MIN,2014-10-29 0:00,2015,1
-1.0161835563491788,-0.1875273303048629,-1.3440317802579622,-0.2029882338471574,1.70162498475761,0.3528884360865788,1.495119287595291,-0.2681584749515266,-1.7034227168201086,-1.0716857770106285,0.0604520676887697,-0.0509462633340007,-1.0716857770106285,-1.4154937949489126,0.0612322870145412,-0.8677881799433584,-1.1668063968058238,IND,PHI,2014-10-29 0:00,2015,1
