Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,yearEnd
Golden State Warriors*,82,19805,43.4,88.4,0.491,13.1,33.9,0.385,30.3,54.5,0.557,16.1,20.1,0.801,9.6,35.9,45.5,29,7.5,6.3,14,21.1,115.9,2019
Houston Rockets*,82,19830,39.8,88.6,0.449,16.4,46,0.356,23.4,42.6,0.551,19.6,24.7,0.791,10.3,32.3,42.7,21.5,8.7,5,13.5,22.3,115.5,2019
Portland Trail Blazers*,82,19855,42.3,90.6,0.467,11,30.7,0.359,31.3,59.8,0.523,19,23.3,0.814,11.8,36.2,48,23,6.7,5,13.8,20.4,114.7,2019
Milwaukee Bucks*,82,19780,41.8,87.8,0.476,13,36.8,0.353,28.8,50.9,0.565,17.3,22.4,0.773,9,39,47.9,25.1,7.2,5.7,13.4,18.9,113.8,2019
Toronto Raptors*,82,19880,41.7,88.1,0.474,12.2,33.4,0.366,29.5,54.7,0.539,17.5,21.7,0.804,9.5,35.2,44.7,25.1,8.2,5.3,13.9,20.8,113.1,2019
Denver Nuggets*,82,19730,42.8,91.9,0.466,11.2,32,0.351,31.6,59.9,0.527,16.1,21.3,0.755,12.1,35.3,47.3,27.9,7.9,4.5,13.7,20.5,113,2019
San Antonio Spurs*,82,19805,42.8,89.4,0.478,10,25.5,0.392,32.7,63.8,0.513,17.4,21.2,0.819,9.3,35.9,45.2,24.8,6.2,4.8,12.2,18.3,112.9,2019
Philadelphia 76ers*,82,19805,40.6,86.2,0.471,10.6,29.5,0.359,30,56.7,0.529,20.8,26.9,0.771,10.6,36.1,46.7,26.3,7.2,5.2,14.6,20.8,112.6,2019
Los Angeles Clippers*,82,19830,40.3,85.4,0.471,9.8,25.2,0.388,30.5,60.2,0.507,22.1,27.8,0.792,9.5,34.9,44.4,23.4,6.7,4.6,14.2,22.8,112.4,2019
Boston Celtics*,82,19780,42,90.4,0.465,12.6,34.4,0.365,29.5,55.9,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.2,8.6,5.3,12.8,20.3,112.2,2019
Charlotte Hornets,82,19830,40.4,90.3,0.448,12,34.1,0.351,28.4,56.1,0.507,18.5,23.2,0.797,10,34.1,44,23.4,7.2,5,12.3,19,111.4,2019
New Orleans Pelicans,82,19755,42.1,89,0.473,9.9,28.8,0.344,32.2,60.2,0.536,17.2,22.6,0.761,10.7,34.9,45.6,26.1,7.2,5.2,14.3,20.4,111.4,2019
Minnesota Timberwolves,82,19830,41.2,90.4,0.456,10,28.5,0.351,31.2,61.9,0.504,19,24.1,0.787,11.2,33.2,44.4,24.4,8.3,5,13,20.1,111.4,2019
