Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,yearEnd
Golden State Warriors*,82,19880,42.4,87,0.487,13.1,31.5,0.416,29.3,55.5,0.528,16.6,21.8,0.763,9.9,36.1,46,28.8,8.4,6.1,15.1,20.7,114.5,2016
Oklahoma City Thunder*,82,19830,42.2,88.6,0.476,8.5,24.3,0.349,33.7,64.3,0.524,20.2,25.9,0.782,13.4,36.5,49.9,23.6,7.5,6.1,16.3,21.2,113.1,2016
Cleveland Cavaliers*,82,19855,41.1,89.3,0.46,11.4,31.5,0.362,29.7,57.8,0.514,17.3,23.1,0.748,11.3,36,47.3,24.1,7.1,4.1,14.4,21.6,110.9,2016
San Antonio Spurs*,82,19705,42.7,88.3,0.484,7.4,19.7,0.375,35.3,68.6,0.515,17.4,21.7,0.803,10,36.8,46.8,26.1,8.8,6.3,13.9,18.6,110.3,2016
Toronto Raptors*,82,19780,39.3,87.1,0.451,9.2,25,0.37,30,62.1,0.483,22.2,28.6,0.777,10.9,35.6,46.5,20.1,8.3,5.9,14,21,110,2016
Portland Trail Blazers*,82,19805,40,88.9,0.45,10.9,29.5,0.37,29.1,59.4,0.49,18,23.8,0.754,12,35.1,47.1,22.1,7.1,4.8,15.1,22.5,108.8,2016
Houston Rockets*,82,19830,38.4,84.9,0.452,10.9,31.4,0.347,27.5,53.5,0.514,20.7,29.8,0.694,11.5,32.2,43.8,22.6,10.2,5.3,16.2,22.2,108.3,2016
Los Angeles Clippers*,82,19830,39.7,85.4,0.465,10.1,27.7,0.364,29.6,57.7,0.513,18.8,27.2,0.692,9.1,34.5,43.6,23.7,9,5.8,13.4,22.1,108.3,2016
Charlotte Hornets*,82,19855,38.4,87.5,0.439,11,30.5,0.362,27.3,57,0.479,19.4,24.5,0.79,9.3,36.3,45.5,22.5,7.5,5.5,13,18.8,107.1,2016
Boston Celtics*,82,19780,39.6,90.2,0.439,8.8,26.4,0.335,30.8,63.8,0.483,18.7,23.8,0.788,11.7,33.7,45.4,24.4,9.3,4.3,13.9,22.1,106.8,2016
Dallas Mavericks*,82,20005,39,87.8,0.444,10.3,29.8,0.344,28.7,58,0.495,18.5,23.3,0.794,9.6,35.4,44.9,23.1,7.1,3.9,13.3,20.3,106.7,2016
Minnesota Timberwolves,82,19880,39.2,84.5,0.464,5.8,17.1,0.338,33.5,67.5,0.496,22.2,28.1,0.792,10.4,32.8,43.2,24.3,8.3,4.8,15.6,21.5,106.5,2016
Miami Heat*,82,19830,40.7,86.6,0.47,6.4,19.1,0.336,34.3,67.5,0.508,18.2,24.4,0.744,10.4,36.4,46.8,22.1,7.2,6.9,14.9,19.4,106.1,2016
Detroit Pistons*,82,19880,39.5,90,0.439,9.4,27.3,0.345,30.1,62.7,0.48,17.8,26.6,0.668,13,35.3,48.2,20.2,7.3,3.9,14.1,19.8,106.1,2016
Sacramento Kings,82,19805,39.8,85.9,0.464,8,22.3,0.359,31.8,63.6,0.5,18.4,25.3,0.725,10.5,33.5,44,24.4,8.9,4.5,16.1,20.3,106,2016
Utah Jazz,82,19955,39.1,87.1,0.449,9.2,25.9,0.355,29.9,61.3,0.488,18.5,24.9,0.744,11.6,35.2,46.9,20.6,8.3,5.6,16.2,21.9,105.9,2016
Denver Nuggets,82,19830,39.1,88.5,0.442,8.3,24.6,0.338,30.8,64,0.482,19.1,25,0.766,11.9,34.4,46.3,23.5,7.7,5,15.2,21.8,105.6,2016
New Orleans Pelicans,82,19780,39.5,88.3,0.448,8.8,24.5,0.36,30.7,63.8,0.482,17.7,22.9,0.776,9.8,34,43.8,22.8,7.9,4.3,13.8,21.5,105.6,2016
Memphis Grizzlies*,82,19830,39.2,89,0.44,6.5,19.7,0.331,32.6,69.3,0.471,20.6,26.3,0.783,11.9,32.4,44.3,22,9.4,4.5,14.1,23.1,105.4,2016
Washington Wizards,82,19755,40,86.8,0.46,8.7,24.5,0.358,31.2,62.3,0.501,16.6,22.8,0.73,9.2,33.2,42.3,24.7,8.7,4,14.6,21.1,105.3,2016
Orlando Magic,82,19905,40.7,89.4,0.455,8,22.8,0.35,32.7,66.6,0.492,15.7,20.7,0.757,10.6,34,44.6,24.3,8.5,5.2,14.5,21.4,105.1,2016
Atlanta Hawks*,82,19830,39.5,86.3,0.458,10.2,29,0.35,29.3,57.3,0.512,16,20.4,0.783,8.5,34.5,43,26.2,9.3,6.1,15.3,19.6,105.1,2016
