Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,yearEnd
Brooklyn Nets*,72,17405,43,87.1,0.494,14.1,36,0.392,28.9,51.1,0.565,18.1,22.5,0.804,8.9,35.5,44.3,26.7,6.7,5.3,13.5,19,118.3,2021
Portland Trail Blazers*,72,17305,41.9,92.4,0.453,16,41.4,0.385,25.9,51,0.509,18.1,22,0.823,10.8,34.4,45.2,21.6,7,5.1,11.3,19.2,117.8,2021
Utah Jazz*,72,17355,41.7,89,0.468,16.9,43.5,0.389,24.8,45.6,0.544,17.3,21.7,0.799,10.7,38,48.8,23.9,6.7,5.2,14.4,18.7,117.6,2021
Los Angeles Clippers*,72,17280,43.1,89.4,0.482,14.7,35.8,0.411,28.4,53.6,0.529,16.7,19.9,0.839,9.7,35.8,45.5,25.2,7.3,4.2,13.6,19.8,117.6,2021
Milwaukee Bucks*,72,17330,43.6,89.6,0.487,14.1,36.2,0.389,29.6,53.4,0.554,15.8,20.9,0.76,10,36.9,46.9,24.9,7.9,4.5,13.5,16.9,117.2,2021
Phoenix Suns*,72,17480,44,89.8,0.49,13.3,35.2,0.378,30.8,54.6,0.563,15.9,19,0.834,8.9,34.8,43.7,27.4,7.3,4.4,12.7,19.4,117.2,2021
Denver Nuggets*,72,17480,44,90.8,0.485,13.1,34.8,0.377,30.9,56,0.552,16,19.9,0.803,10.7,34.5,45.2,27.3,8.2,4.6,13.7,19.4,117.1,2021
Atlanta Hawks*,72,17405,41.5,88.8,0.468,12.6,33.9,0.373,28.9,54.8,0.526,20,24.7,0.812,10.7,35.7,46.4,24.5,7.1,4.8,13.5,19.7,115.7,2021
Dallas Mavericks*,72,17305,42.2,89.6,0.47,14.2,39.1,0.362,28,50.5,0.554,16.9,21.7,0.778,9.4,35.1,44.5,23.5,6.4,4.4,12.4,19.9,115.4,2021
Boston Celtics*,72,17380,42,90,0.466,13.8,36.8,0.374,28.2,53.2,0.53,16.3,21,0.775,10.8,34,44.8,23.7,7.8,5.4,14.2,20.7,114,2021
Sacramento Kings,72,17305,42.5,88.5,0.481,12.1,33.3,0.364,30.4,55.2,0.551,16.4,22,0.745,9.3,32,41.3,25.5,7.5,5,13.4,19.4,113.6,2021
New Orleans Pelicans,72,17430,42.1,88.2,0.477,10.5,30.1,0.348,31.6,58.1,0.544,18.8,25.8,0.729,11.6,35.3,47,25.8,7.5,4.3,14.5,17.8,113.5,2021
Philadelphia 76ers*,72,17430,41.2,86.6,0.476,11.2,30,0.374,30,56.6,0.531,19.5,25.4,0.767,10,34.9,44.9,23.6,9.1,6.2,14.4,20.1,113.2,2021
Indiana Pacers,72,17455,42.2,88.9,0.474,12,33.1,0.364,30.1,55.8,0.54,16,20.2,0.792,8.8,32.8,41.6,26.7,8.3,6.2,13.2,19.7,112.4,2021
Toronto Raptors,72,17305,40,89.3,0.448,14.6,39.6,0.368,25.4,49.7,0.512,17.5,21.5,0.815,9.5,32.4,41.9,24.3,8.6,5.4,13.3,21.3,112,2021
Memphis Grizzlies*,72,17405,42.4,90.8,0.467,11,31,0.356,31.3,59.8,0.525,16.3,21.1,0.771,11,34.9,46,26.6,9,5,13.1,18.5,112,2021
Washington Wizards*,72,17405,41.2,86.7,0.475,9.7,27.7,0.351,31.5,59.1,0.533,19.2,25,0.769,9.2,33.9,43.1,24.3,7,3.9,13.7,20.6,111.2,2021
Miami Heat*,72,17380,40.4,86.2,0.468,13.3,37.2,0.358,27,48.9,0.553,17.2,21.7,0.79,8.3,34.4,42.7,27.1,8.1,4.1,14.5,19.5,111.2,2021
Golden State Warriors,72,17305,40.3,86.1,0.468,14.2,37.9,0.376,26.1,48.3,0.541,16.2,20.6,0.785,7.8,34.3,42,27,8,4.6,14.7,20.7,111.1,2021
Chicago Bulls,72,17380,42.3,89,0.476,12.6,34.1,0.37,29.7,54.9,0.542,13.9,17.5,0.791,9.7,35.5,45.1,26.9,6.7,4.2,15.2,19,111.1,2021
San Antonio Spurs,72,17480,41.8,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22,0.792,9.3,34.6,43.8,24.4,7,5.1,11.4,17.9,111,2021
Charlotte Hornets,72,17355,40.4,89,0.455,13.9,37.5,0.369,26.6,51.5,0.517,16.1,21.2,0.761,10.7,33.6,44.3,27.2,7.9,4.8,15,18.3,110.9,2021
New York Knicks*,72,17430,40.7,89.3,0.456,12.2,31,0.392,28.6,58.3,0.49,17,21.6,0.784,10,36.7,46.6,22.1,7.3,5.2,13.4,21.1,110.6,2021
Los Angeles Lakers*,72,17455,40.8,86.4,0.472,11.1,31.3,0.354,29.7,55,0.539,17.3,23.4,0.739,9.7,34.7,44.4,24.7,7.8,5.4,15.3,19.2,109.9,2021
Minnesota Timberwolves,72,17405,39.8,88.8,0.448,12.8,36.7,0.349,27,52.1,0.518,17.2,22.6,0.761,10.3,32.2,42.5,25,8.6,5.4,13.9,20.4,109.5,2021
Detroit Pistons,72,17430,39.2,86.7,0.452,11.7,33.3,0.351,27.5,53.4,0.515,18,23.7,0.759,9.8,33.5,43.3,24.5,7.5,5.2,15.1,20.8,108,2021
Houston Rockets,72,17305,38.6,87.1,0.444,13.6,40,0.339,25.1,47.2,0.532,16.3,22,0.74,9.2,32.8,41.9,23.2,7.5,4.9,14.5,19.2,107.1,2021
Cleveland Cavaliers,72,17430,39.3,87.4,0.45,10.2,30.3,0.336,29.1,57.1,0.51,17,22.8,0.743,10.6,32.9,43.5,24.3,7.9,4.6,15.8,18.5,105.8,2021
