"","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","yearEnd.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","yearEnd.y"
"17","Milwaukee Bucks",82,19830,40.4,86.6,0.467,5.7,16.4,0.345,34.7,70.2,0.495,17.9,23.9,0.747,11,32.9,43.9,24.3,8.6,6.1,16,21.8,104.3,2016,23.5,33,49,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,2016
"18","Minnesota Timberwolves",82,19880,39.2,84.5,0.464,5.8,17.1,0.338,33.5,67.5,0.496,22.2,28.1,0.792,10.4,32.8,43.2,24.3,8.3,4.8,15.6,21.5,106.5,2016,24.6,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.332,0.202,0.549,2016
"19","New Orleans Pelicans",82,19780,39.5,88.3,0.448,8.8,24.5,0.36,30.7,63.8,0.482,17.7,22.9,0.776,9.8,34,43.8,22.8,7.9,4.3,13.8,21.5,105.6,2016,26.6,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.259,0.277,0.537,2016
"20","New York Knicks",82,19805,39.2,89.3,0.439,7.9,22.9,0.346,31.3,66.5,0.471,18.3,22.7,0.805,11,36.2,47.2,21.8,6.1,6,14.3,21,104.6,2016,27.2,32,50,33,49,-2.73,0,-2.74,104.6,107.6,-3,93.4,0.255,0.256,0.527,2016
"21","Oklahoma City Thunder*",82,19830,42.2,88.6,0.476,8.5,24.3,0.349,33.7,64.3,0.524,20.2,25.9,0.782,13.4,36.5,49.9,23.6,7.5,6.1,16.3,21.2,113.1,2016,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,2016
"22","Orlando Magic",82,19905,40.7,89.4,0.455,8,22.8,0.35,32.7,66.6,0.492,15.7,20.7,0.757,10.6,34,44.6,24.3,8.5,5.2,14.5,21.4,105.1,2016,23.9,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96,0.232,0.255,0.533,2016
"23","Philadelphia 76ers",82,19805,36.7,85.2,0.431,9.5,27.9,0.339,27.3,57.3,0.476,15.9,22.9,0.694,9.6,32.2,41.8,21.8,8.4,6.1,16.6,22,98.8,2016,23.3,10,72,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.269,0.327,0.519,2016
"24","Phoenix Suns",82,19705,37.7,86.8,0.435,9.1,26.2,0.348,28.6,60.6,0.472,17.7,23.5,0.751,11.7,33.8,45.4,21,7.8,3.9,17.4,23,102.2,2016,26,23,59,24,58,-6.66,0.34,-6.32,102.2,109,-6.8,98.5,0.271,0.302,0.526,2016
"25","Portland Trail Blazers*",82,19805,40,88.9,0.45,10.9,29.5,0.37,29.1,59.4,0.49,18,23.8,0.754,12,35.1,47.1,22.1,7.1,4.8,15.1,22.5,108.8,2016,24.3,44,38,43,39,0.83,0.15,0.98,108.8,108,0.8,96,0.268,0.332,0.548,2016
"26","Sacramento Kings",82,19805,39.8,85.9,0.464,8,22.3,0.359,31.8,63.6,0.5,18.4,25.3,0.725,10.5,33.5,44,24.4,8.9,4.5,16.1,20.3,106,2016,26.6,33,49,34,48,-2.48,0.16,-2.32,106,108.4,-2.4,100,0.295,0.26,0.546,2016
"27","San Antonio Spurs*",82,19705,42.7,88.3,0.484,7.4,19.7,0.375,35.3,68.6,0.515,17.4,21.7,0.803,10,36.8,46.8,26.1,8.8,6.3,13.9,18.6,110.3,2016,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99,11.3,93.8,0.246,0.223,0.564,2016
"28","Toronto Raptors*",82,19780,39.3,87.1,0.451,9.2,25,0.37,30,62.1,0.483,22.2,28.6,0.777,10.9,35.6,46.5,20.1,8.3,5.9,14,21,110,2016,26.3,56,26,53,29,4.5,-0.42,4.08,110,105.2,4.8,92.9,0.328,0.287,0.552,2016
"29","Utah Jazz",82,19955,39.1,87.1,0.449,9.2,25.9,0.355,29.9,61.3,0.488,18.5,24.9,0.744,11.6,35.2,46.9,20.6,8.3,5.6,16.2,21.9,105.9,2016,24.2,40,42,46,36,1.79,0.05,1.84,105.9,103.9,2,91,0.286,0.297,0.54,2016
"30","Washington Wizards",82,19755,40,86.8,0.46,8.7,24.5,0.358,31.2,62.3,0.501,16.6,22.8,0.73,9.2,33.2,42.3,24.7,8.7,4,14.6,21.1,105.3,2016,27.3,41,41,40,42,-0.5,0,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,2016
