"","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","yearEnd.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","yearEnd.y"
"1","Atlanta Hawks*",82,19730,40.4,86.7,0.466,10.6,27.9,0.38,29.8,58.9,0.506,17.5,22.5,0.778,9.3,33.8,43.1,27.3,9.6,4.9,15.1,18.9,108.9,2015,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,2015
"2","Boston Celtics*",82,19880,40.2,90.8,0.443,8.3,25.5,0.327,31.9,65.4,0.488,15.9,21.1,0.754,11.5,33.8,45.3,25.3,8.5,3.7,14.3,21.9,104.7,2015,25,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,2015
"3","Brooklyn Nets*",82,19930,39.9,88.4,0.451,7,21.2,0.331,32.8,67.2,0.489,17.6,23.6,0.748,11,34.1,45.1,22.3,7.5,4.4,14.7,20.5,104.4,2015,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3,92.7,0.267,0.24,0.529,2015
"4","Charlotte Hornets",82,19905,37.8,89.9,0.42,6.5,20.3,0.318,31.3,69.6,0.45,18.1,24.2,0.748,10.6,36.2,46.9,21.5,6.5,5.8,12.7,19.4,100.1,2015,26,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93,0.269,0.226,0.498,2015
"5","Chicago Bulls*",82,19880,39,88.4,0.442,8.4,23.7,0.353,30.7,64.7,0.474,21.1,26.9,0.783,12.5,36.3,48.8,23.2,6.7,6.2,14.9,19.5,107.5,2015,28.8,50,32,50,32,3,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,2015
"6","Cleveland Cavaliers*",82,19780,40.6,88.6,0.458,10.9,29.6,0.367,29.7,58.9,0.504,19.1,25.4,0.751,12,34.3,46.3,23.8,7.9,4.5,15.4,19.8,111.1,2015,26.9,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,2015
"7","Dallas Mavericks*",82,19880,41.3,89.3,0.463,9.3,26.4,0.352,32,62.8,0.509,17.6,23.4,0.752,10.9,33.1,44,23.4,8.4,4.7,13.5,20.9,109.5,2015,29.9,50,32,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,2015
"8","Denver Nuggets",82,19880,38.9,89.9,0.433,8.3,25.5,0.325,30.6,64.4,0.476,18.4,25,0.734,12.7,33.3,46,22.5,8.1,4.6,14.6,23.6,104.5,2015,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,2015
"9","Detroit Pistons",82,19830,39.7,91.8,0.432,9.2,26.6,0.344,30.5,65.1,0.468,16.8,24,0.703,13.7,34.3,48,23.1,8.1,5,14.3,20.3,105.3,2015,25.9,32,50,38,44,-1,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,2015
"10","Golden State Warriors*",82,19730,42.2,88.3,0.478,10.9,27.4,0.398,31.3,60.9,0.514,16.3,21.2,0.768,10.6,34.8,45.4,27.8,9.4,6.1,14.7,20.2,111.6,2015,26.6,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,2015
"11","Houston Rockets*",82,19805,38.1,85.8,0.444,11.7,33.6,0.348,26.3,52.1,0.506,19.1,26.8,0.715,12,32.9,45,22.8,9.8,5.1,17.1,22.6,107,2015,27.6,56,26,50,32,3.44,0.38,3.82,107,103.4,3.6,96.5,0.312,0.392,0.548,2015
"12","Indiana Pacers",82,19855,38.9,88.5,0.439,7.9,22.6,0.352,31,66,0.469,17.8,23.6,0.756,11.1,36.6,47.7,22.8,6.6,4.9,14.9,22.6,103.5,2015,28.3,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,2015
"13","Los Angeles Clippers*",82,19730,41.5,87.7,0.473,10.6,28.3,0.376,30.8,59.4,0.519,18.9,26.5,0.71,10.1,34.8,44.9,26.1,8.2,5.3,13,22.5,112.4,2015,28.8,56,26,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,2015
"14","Los Angeles Lakers",82,19930,39.1,89.9,0.435,6.8,19.8,0.344,32.3,70.1,0.461,18.4,24.8,0.741,12.2,33.9,46.1,22,7.4,4.7,13.9,22.3,103.4,2015,27,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,-7.2,94,0.276,0.22,0.513,2015
"15","Memphis Grizzlies*",82,19905,40.6,88.7,0.458,5.5,16.3,0.339,35.1,72.3,0.485,18.9,24.5,0.773,11.2,34.5,45.8,23.3,9.2,4.5,14.3,20.5,105.7,2015,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92,0.276,0.184,0.531,2015
"16","Miami Heat",82,19730,38.6,84.7,0.456,7.4,22.2,0.335,31.2,62.5,0.499,19.2,26,0.741,10,32.9,42.9,21.8,8.6,5,16.2,21.9,103.9,2015,28.5,37,45,33,49,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,2015
"17","Milwaukee Bucks*",82,19930,39.5,86,0.459,7,19.2,0.363,32.5,66.8,0.486,16.8,22.2,0.757,11.2,32.9,44.2,24.7,10.1,5.2,17.6,23.2,102.7,2015,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,2015
"18","Minnesota Timberwolves",82,19805,38.3,87.5,0.438,5.2,15.7,0.332,33.1,71.8,0.461,21,27.1,0.776,12.2,30.9,43.1,22.7,8.6,4.2,15.8,20.2,102.9,2015,24.4,16,66,19,63,-8.79,0.79,-8,102.9,112.2,-9.3,94.4,0.309,0.179,0.517,2015
"19","New Orleans Pelicans*",82,19780,41.3,90.2,0.457,7.8,21,0.37,33.5,69.2,0.484,17.9,23.8,0.751,12.5,34.8,47.3,24,7.3,6.8,14.4,20.3,108.2,2015,25.3,45,37,43,39,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,2015
"20","New York Knicks",82,19855,38.2,89.2,0.428,7.4,21.4,0.347,30.8,67.8,0.454,16.1,20.9,0.769,11.5,32.4,43.9,23.1,7.6,5.1,16,23.4,99.9,2015,26.9,17,65,17,65,-9.32,-0.18,-9.5,99.9,110,-10.1,91.2,0.234,0.24,0.508,2015
"21","Oklahoma City Thunder",82,19830,40.3,90,0.447,8,23.6,0.339,32.3,66.4,0.486,19.3,25.5,0.754,13.3,36,49.3,21.3,7.6,5.7,15.2,23.1,107.8,2015,25.4,45,37,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,2015
"22","Orlando Magic",82,19755,39.8,87.9,0.453,7.2,20.7,0.347,32.6,67.2,0.486,14.8,20.3,0.729,10.6,33.7,44.4,21.9,8.4,4.1,15.8,22.2,101.6,2015,24.3,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,2015
"23","Philadelphia 76ers",82,19805,35,85.8,0.408,8.8,27.3,0.32,26.2,58.4,0.449,16.7,24.7,0.676,12.4,32.1,44.5,21.3,10,6.2,18.4,22.5,95.5,2015,23.2,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,2015
"24","Phoenix Suns",82,19880,39.8,88.3,0.452,8.8,25.7,0.341,31.1,62.6,0.497,16.8,22.2,0.76,11.2,33.1,44.4,20.8,8.8,4.8,15.5,21.9,105.3,2015,25.7,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,2015
"25","Portland Trail Blazers*",82,19855,40.7,90.4,0.45,10.4,28.6,0.362,30.4,61.8,0.491,16.3,20.4,0.801,11.3,37,48.2,23.1,6.7,4.8,14.3,19.2,108.2,2015,27,51,31,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,2015
"26","Sacramento Kings",82,19855,38.2,83.9,0.455,5.8,17.1,0.341,32.3,66.8,0.484,23.2,30.4,0.762,11.3,34.6,45.9,21.1,7,4.1,16.9,21.5,105.3,2015,26,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,2015
"27","San Antonio Spurs*",82,19955,41.1,87.9,0.468,8.7,23.7,0.367,32.5,64.2,0.505,17.5,22.5,0.78,10.3,35.6,45.9,25.7,8.4,5.7,14.7,20.1,108.5,2015,29.8,55,27,58,24,6.2,0.14,6.34,108.5,102,6.5,93.8,0.256,0.269,0.555,2015
"28","Toronto Raptors*",82,19855,40.5,88.9,0.455,9.5,26.8,0.352,31,62.1,0.499,20.6,26.2,0.787,11.5,32.9,44.4,22.1,8,4.6,13.8,22.3,111,2015,26.1,49,33,49,33,3.07,-0.62,2.45,111,107.7,3.3,92.8,0.295,0.302,0.553,2015
"29","Utah Jazz",82,19705,39.1,87.5,0.447,8.2,24,0.343,30.9,63.5,0.486,18.7,26,0.721,13.3,35.3,48.6,22,8.4,6.6,16.9,21.3,105.1,2015,23.4,38,44,42,40,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,2015
"30","Washington Wizards*",82,19955,40.3,87.2,0.462,6.4,17.7,0.36,33.9,69.4,0.488,16.8,22.6,0.742,11.1,36,47,25.3,7.7,4.9,15.8,21.9,103.7,2015,28.6,46,36,43,39,0.72,-0.55,0.17,103.7,103,0.7,93.7,0.259,0.203,0.534,2015
