"","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","yearEnd.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","yearEnd.y"
"19","New Orleans Pelicans",72,17430,42.1,88.2,0.477,10.5,30.1,0.348,31.6,58.1,0.544,18.8,25.8,0.729,11.6,35.3,47,25.8,7.5,4.3,14.5,17.8,113.5,2021,24.8,31,41,35,37,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,2021
"20","New York Knicks*",72,17430,40.7,89.3,0.456,12.2,31,0.392,28.6,58.3,0.49,17,21.6,0.784,10,36.7,46.6,22.1,7.3,5.2,13.4,21.1,110.6,2021,25.6,41,31,41,31,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,2021
"21","Oklahoma City Thunder",72,17355,38.3,86.8,0.441,11.7,34.6,0.339,26.5,52.2,0.509,15.2,21,0.725,9.8,35.2,45,21.7,6.9,4.3,15.9,17.9,103.5,2021,22.8,22,50,15,57,-10.64,0.51,-10.13,103.5,114,-10.5,101,0.242,0.399,0.539,2021
"22","Orlando Magic",72,17330,38.7,90.2,0.429,11,32.1,0.343,27.7,58,0.476,16.8,21.7,0.775,10.5,35.4,45.9,22.1,7,4.5,13,17.4,105.1,2021,25.6,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,2021
"23","Philadelphia 76ers*",72,17430,41.2,86.6,0.476,11.2,30,0.374,30,56.6,0.531,19.5,25.4,0.767,10,34.9,44.9,23.6,9.1,6.2,14.4,20.1,113.2,2021,27.1,49,23,48,24,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,2021
"24","Phoenix Suns*",72,17480,44,89.8,0.49,13.3,35.2,0.378,30.8,54.6,0.563,15.9,19,0.834,8.9,34.8,43.7,27.4,7.3,4.4,12.7,19.4,117.2,2021,26.6,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,2021
"25","Portland Trail Blazers*",72,17305,41.9,92.4,0.453,16,41.4,0.385,25.9,51,0.509,18.1,22,0.823,10.8,34.4,45.2,21.6,7,5.1,11.3,19.2,117.8,2021,27.4,42,30,40,32,1.79,0.01,1.81,117.8,116,1.8,98.4,0.238,0.448,0.577,2021
"26","Sacramento Kings",72,17305,42.5,88.5,0.481,12.1,33.3,0.364,30.4,55.2,0.551,16.4,22,0.745,9.3,32,41.3,25.5,7.5,5,13.4,19.4,113.6,2021,25.6,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100,0.248,0.376,0.578,2021
"27","San Antonio Spurs",72,17480,41.8,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22,0.792,9.3,34.6,43.8,24.4,7,5.1,11.4,17.9,111,2021,26.2,33,39,32,40,-1.74,0.15,-1.58,111,112.8,-1.8,98.9,0.243,0.314,0.554,2021
"28","Toronto Raptors",72,17305,40,89.3,0.448,14.6,39.6,0.368,25.4,49.7,0.512,17.5,21.5,0.815,9.5,32.4,41.9,24.3,8.6,5.4,13.3,21.3,112,2021,26.6,27,45,35,37,-0.47,-0.07,-0.54,112,112.5,-0.5,99.2,0.241,0.444,0.567,2021
"29","Utah Jazz*",72,17355,41.7,89,0.468,16.9,43.5,0.389,24.8,45.6,0.544,17.3,21.7,0.799,10.7,38,48.8,23.9,6.7,5.2,14.4,18.7,117.6,2021,28.5,52,20,55,17,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,2021
"30","Washington Wizards*",72,17405,41.2,86.7,0.475,9.7,27.7,0.351,31.5,59.1,0.533,19.2,25,0.769,9.2,33.9,43.1,24.3,7,3.9,13.7,20.6,111.2,2021,26.6,34,38,32,40,-1.83,-0.01,-1.85,111.2,113,-1.8,104.1,0.288,0.319,0.569,2021
