FG.,percent_3pt,percent_2pt,percent_FT,DRB,ORB,TRB,STL,TOV,PTS,MarginOfVictory,ORtg,DRtg,NRtg,Pace,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.780697892867056,0.6967123355447344,-0.0281039931973592,0.5183534111486945,0.8178290739842892,-0.1704752254708721,0.5357732108806375,0.6034811633866122,0.1232692623790334,0.039520781803725,1.3281695036342696,0.039520781803725,-1.9328215703265348,1.3666457990662255,-1.1254018751239865,-0.8855766011458365,0.1997421287245027,SAS,DAL,2014-10-28 0:00,2015,1
-1.4538380162165516,-0.7155962679110498,-1.9004993358205384,-0.780387197317947,-0.3843708361032287,1.465033782582008,0.6476632752569635,-0.5624027189272239,-0.5967211062581651,-1.3480051079190216,-1.4621363209556952,-1.3480051079190216,0.6805221735896229,-1.5112558145037809,-1.0596393659115946,-1.6846436490082184,-1.930798357816268,LAL,HOU,2014-10-28 0:00,2015,0
0.0358525898391868,0.8809265012128802,-0.9217472249038776,-0.447376784890603,0.2520879398254551,1.7232720470114111,1.3190036615149083,-0.6789911071586081,-0.1467271258599153,-0.0420983881799652,0.1705349552422672,-0.0420983881799652,-0.3222725188433211,0.1902772562930844,-1.9145519856726745,-1.4726462689630966,-0.7133466512215417,NOP,ORL,2014-10-28 0:00,2015,1
-0.099573828893153,-0.2243584927959944,-0.2834306308277931,0.7514606998478354,-1.0915472538017674,0.8624778322467366,-0.3034022719417965,0.1371276104610773,-0.6867199023378147,0.7196805316678172,0.6584105135294696,0.7196805316678172,-0.2007216470332654,0.6944352031958592,-1.454214421185941,-0.3474294056466818,0.0982878198416089,TOR,ATL,2014-10-29 0:00,2015,1
-0.031860619526983,-1.2682387649154838,-0.2834306308277931,-0.780387197317947,-1.0915472538017674,-0.4287134899002751,-1.1425777547642304,0.8366579398493785,1.4732512035737824,-1.211973157946203,-0.5548589669479154,-1.211973157946203,-0.5045988265584003,-0.5869662451820267,-2.0789582587036515,-0.9997290365547482,-0.5611651878972009,MIA,WAS,2014-10-29 0:00,2015,1
-0.4381398757240026,0.3896887260978248,-0.6238661476683715,1.2176752772461168,1.8078760587622424,0.6903189892938023,1.822508951208372,-1.3785214365469094,-0.236725921939565,-0.0420983881799652,0.906627902833485,-0.0420983881799652,-1.4162303651338046,0.9465141766472464,-0.9938768566992028,-0.1191245348288582,-0.3582565701314133,POR,OKC,2014-10-29 0:00,2015,1
-0.912132341287192,-1.7594765400305392,-0.7515294664835884,-0.3474736611623998,-0.4550884778730835,0.8624778322467366,0.2001030177516631,0.7200695516179954,-0.236725921939565,-0.9943220379896944,0.0357272351892244,-0.9943220379896944,-1.1731286215136978,0.0432311884464417,-0.4677767830000774,-0.7061942026461179,-1.4235268134017984,BOS,BKN,2014-10-29 0:00,2015,1
-0.6412795038225124,-0.7770009898004283,-0.836638345693733,-1.446408022172635,0.6056761486747245,2.411907418823151,2.04628907996102,0.6034811633866122,2.1032427761313315,-0.8854964780114419,0.0485660656704666,-0.8854964780114419,-1.051577749703642,0.0432311884464417,-2.2433645317346285,-0.8040391472823281,-1.0177095778702232,UTA,HOU,2014-10-29 0:00,2015,0
-2.4695361567091005,-2.3121190370349765,-2.3685981714763336,-0.5472799086188062,1.2421349246034132,0.0877630389585293,1.09522353276226,-1.6116982130096769,-1.6767066592139652,-2.2458159777396265,-0.676827856519716,-2.2458159777396265,-1.4770058010388325,-0.7130057319077203,-1.388451911973549,-1.5867987043720084,-2.6917056744379715,CHA,MIL,2014-10-29 0:00,2015,1
-0.3027134569916628,-0.8998104335791922,-0.3685395100379376,-0.1476674137059934,-0.9501119702620576,0.6042395678173337,-0.3034022719417965,1.0698347163121469,0.8432596310162336,-0.8310836980223137,-0.1910921033127205,-0.8310836980223137,-0.6565374163209677,-0.1878412038839966,-0.3033705099691002,-0.5268118041464003,-0.7133466512215417,PHX,LAL,2014-10-29 0:00,2015,1
-0.099573828893153,-0.8998104335791922,-0.9217472249038776,-0.0810653312205246,0.1106526562857504,0.6903189892938023,0.5357732108806375,-1.0287562718527588,2.1032427761313315,-0.8310836980223137,-0.7923773308508955,-0.8310836980223137,0.2550941222544367,-0.8180386375124651,-0.5993018014248563,-1.9455635013714452,-0.4597108790143071,SAC,GSW,2014-10-29 0:00,2015,0
-1.9278304817797407,-0.531382102242904,-2.1983804130560443,0.1520419574786161,-1.4451354626510369,0.8624778322467366,-0.5831274328826077,-0.3292259424644575,1.2932536114144833,-2.3002287577287506,-1.9928079808470385,-2.3002287577287506,0.4981958658745437,-2.1204466670113,-1.980314494885066,-1.3584938335541852,-2.184434130023502,NYK,CHI,2014-10-29 0:00,2015,0
0.1035657992053567,-1.022619877357956,-0.8791927852988053,0.2852461224495538,0.0399350145158955,0.6042395678173337,0.4798281786924744,1.5361882692376798,-0.236725921939565,-0.7222581380440575,0.6947871998929891,-0.7222581380440575,-1.872046134421507,0.736448365437757,-1.7172644580355034,-2.271713316825479,-1.0177095778702232,MEM,MIN,2014-10-29 0:00,2015,1
-1.182985178751872,-0.2243584927959944,-1.5600638189799625,-0.280871578676931,1.5250054916828275,0.5181601463408665,1.5427837902675603,-1.4951098247782937,0.3032668545383343,-1.3207987179244594,0.0614048961517087,-1.3207987179244594,-1.5681689548963722,0.0642377695673907,-1.322689402761157,-1.11388147196366,-1.4235268134017984,IND,PHI,2014-10-29 0:00,2015,1
