percent_3pt,NRtg,STL,TRB,TS.,DRtg,DRB,percent_2pt,ORB,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.5910674325467573,1.3614991538668588,0.659422199580556,0.5718453831242063,0.0595037513875627,-1.992473848580668,0.8093763191497945,-0.1588294372373626,-0.099844699247979,SAS,DAL,2014-10-28 0:00,2015,1
-0.7692246136240235,-1.507238279846276,-0.5262761045742457,0.6831096902663639,-1.9631009157245627,0.4989406575211642,-0.3957595169874312,-1.946222970868804,1.5572995234587066,LAL,HOU,2014-10-28 0:00,2015,0
0.768496829873381,0.1888765532249934,-0.6448459349897265,1.3506955331192978,-0.8073268202319196,-0.4570672343551201,0.2422535727322744,-1.011903623743279,1.8189538744123943,NOP,ORL,2014-10-28 0:00,2015,1
-0.2960795540863606,0.6914290963572214,0.1851428779186349,-0.2626369204419641,-0.0368107565701574,-0.3411874898852657,-1.1046629500093277,-0.4025649190961959,0.94677270456677,TOR,ATL,2014-10-29 0:00,2015,1
-1.301512805603891,-0.5858919507705247,0.8965618604115156,-1.0971192240081344,-0.6628550582953392,-0.6308868510598975,-1.1046629500093277,-0.4025649190961959,-0.361499050201667,MIA,WAS,2014-10-29 0:00,2015,1
0.295351770335718,0.9427053679233356,-1.3562649174826071,1.8513849152590032,-0.4702260423798987,-1.499984934583793,1.8018411253804485,-0.7275455615746401,0.7723364705976457,POR,OKC,2014-10-29 0:00,2015,1
-1.774657865141554,0.0422987281447602,0.7779920299960359,0.2380524616977373,-1.4815283759359614,-1.2682254456440885,-0.4666498602896218,-0.8494133025040568,0.94677270456677,BOS,BKN,2014-10-29 0:00,2015,1
-0.8283677460662281,0.0422987281447602,0.659422199580556,2.073913529543314,-1.0962703441050805,-1.152345701174234,0.5967052892432225,-0.9306584631236678,2.516698810288895,UTA,HOU,2014-10-29 0:00,2015,0
-2.306946057121425,-0.7115300865535817,-1.5934045783135675,1.1281669188349863,-2.6854597254074646,-1.5579248068187204,1.2347183789629332,-2.393071354276665,0.1618096517057074,CHA,MIL,2014-10-29 0:00,2015,1
-0.9466540109506438,-0.1880378541241776,1.1337015212424773,-0.2626369204419641,-0.8073268202319196,-0.7757365316472135,-0.9628822634049462,-0.483810079715807,0.6851183536130819,PHX,LAL,2014-10-29 0:00,2015,1
-0.9466540109506438,-0.8162285330394626,-1.000555426236167,0.5718453831242063,-0.566540550337619,0.0933615518766821,0.1004728861278981,-1.011903623743279,0.7723364705976457,SAC,GSW,2014-10-29 0:00,2015,0
-0.5917952162974,-2.114489269464385,-0.2891364437432862,-0.5407976882973542,-2.203887185618864,0.3251210408163867,-1.4591146665202757,-2.230581033037443,0.94677270456677,NYK,CHI,2014-10-29 0:00,2015,0
-1.0649402758350597,0.7333084749515737,1.6079808429043962,0.5162132295531274,-1.0962703441050805,-1.9345339763457408,0.0295825428257075,-0.9712810434334734,0.6851183536130819,MEM,MIN,2014-10-29 0:00,2015,1
-0.2960795540863606,0.0632384174419364,-1.474834747898088,1.573224147403613,-1.4815283759359614,-1.644834615171109,1.5182797521716909,-1.621242328390362,0.5979002366285198,IND,PHI,2014-10-29 0:00,2015,1
-1.8929441300259693,-0.7743491544451103,0.3037127083341147,0.627477536695285,-1.722314645830262,-0.1963378092979497,-0.8211015768005699,-1.3368842662217233,1.9933901083815189,DEN,DET,2014-10-29 0:00,2015,1
1.123355624526628,1.4452579110555634,0.4222825387495945,0.015523847413426,0.5410762911761587,-0.9785260844694564,0.2422535727322744,0.4098866870999148,-0.2742809332171048,LAC,OKC,2014-10-30 0:00,2015,1
-1.4789422029305146,-1.946971755086976,0.8965618604115156,-0.9858549168659768,-1.7704718998091222,0.9624596354005776,-2.5224698160531203,-1.946222970868804,1.5572995234587066,MIN,DET,2014-10-30 0:00,2015,1
-0.5917952162974,-1.2769016975773382,0.659422199580556,-0.2626369204419641,-1.4333711219571013,-0.3411874898852657,-0.5375402035918074,-0.9306584631236678,0.1618096517057074,ORL,WAS,2014-10-30 0:00,2015,0
0.5910674325467573,1.0055244358148638,0.0665730475031552,0.7943739974085176,0.155818259345283,-0.7467665955297519,-0.1121981437786737,-0.1994520175471682,1.3828632894895825,CLE,NYK,2014-10-30 0:00,2015,0
-0.2960795540863606,0.6495497177628691,0.659422199580556,-0.4851655347262753,-0.1812825185067378,-0.7177966594122862,-0.9628822634049462,0.0036608840018594,0.4234640026593955,DAL,UTA,2014-10-30 0:00,2015,1
0.3544949027779259,0.1051177960362887,2.6751093166437183,-0.3739012275841177,-0.8554840742107797,-1.9345339763457408,-1.1046629500093277,-0.9306584631236678,0.6851183536130819,MIL,PHI,2014-10-31 0:00,2015,1
-0.7692246136240235,-1.507238279846276,-0.5262761045742457,0.6831096902663639,-1.9631009157245627,0.4989406575211642,-0.3957595169874312,-1.946222970868804,1.5572995234587066,LAL,LAC,2014-10-31 0:00,2015,0
-0.2369364216441527,0.6704894070600452,-1.3562649174826071,2.185177836685468,-0.8554840742107797,-1.3261653178790156,1.305608722265119,-1.4181294268413345,1.8189538744123943,CHI,CLE,2014-10-31 0:00,2015,0
-0.2960795540863606,0.0632384174419364,-1.474834747898088,1.573224147403613,-1.4815283759359614,-1.644834615171109,1.5182797521716909,-1.621242328390362,0.5979002366285198,IND,MEM,2014-10-31 0:00,2015,0
-0.9466540109506438,-0.1880378541241776,1.1337015212424773,-0.2626369204419641,-0.8073268202319196,-0.7757365316472135,-0.9628822634049462,-0.483810079715807,0.6851183536130819,PHX,SAS,2014-10-31 0:00,2015,1
