percent_3pt,percent_2pt,percent_FT,DRB,ORB,TRB,STL,TOV,PF,PTS,MarginOfVictory,SimpleRatngSystem,ORtg,DRtg,NRtg,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.7056158248214904,0.109652541641356,0.567503736149321,0.8532640560779053,-0.2419978089384296,0.4858568532713147,0.5458204019489878,0.0959241670680304,-0.485282719090814,0.1430247613187612,1.3296506867075195,1.4067700603763669,0.1430247613187612,-1.8812071611885213,1.3593524778380122,-0.7554933368091035,0.3203296803230554,SAS,DAL,2014-10-28 0:00,2015,1
-0.6759815620310299,-1.7998640146461025,-0.732886728587656,-0.4161778009808198,1.358219721164877,0.5997295532567809,-0.6322092425452293,-0.6102660199358765,1.0862903653053473,-1.238464410510203,-1.467115460421736,-1.368115381216633,-1.238464410510203,0.8302534398541492,-1.508097062253463,-1.5993954683511875,-1.822002576614557,LAL,HOU,2014-10-28 0:00,2015,0
0.8858241796283409,-0.8017076329503866,-0.3994532760909952,0.2558796527561501,1.6108856469706632,1.2829657531695662,-0.7500122069946515,-0.168897153058434,-0.3424124386911634,0.0617606923876463,0.169335897139324,0.2511223265074996,0.0617606923876463,-0.2101907442668753,0.1872563154648545,-1.3755030661053282,-0.5978127155073497,NOP,ORL,2014-10-28 0:00,2015,1
-0.1954259492127619,-0.1507360796705704,0.8009071528969836,-1.1629083051330098,0.7686658942847115,-0.3681883966196698,0.0746085441513005,-0.6985397933113647,1.0862903653053473,0.8202253357447248,0.658341021023887,0.5439159942055621,0.8202253357447248,-0.0840762977067492,0.6895832421962078,-0.1871510849542312,0.2183138585641215,TOR,ATL,2014-10-29 0:00,2015,1
-1.216606626451578,-0.1507360796705704,-0.732886728587656,-1.1629083051330098,-0.4946637347442156,-1.2222336465106542,0.7814263308478304,1.420030767700358,0.8005498045060435,-1.1030242956250105,-0.5577375107416711,-0.6472218812024642,-1.1030242956250105,-0.3993624141070599,-0.5871643632459819,-0.8760507841722583,-0.4447889828689488,MIA,WAS,2014-10-29 0:00,2015,1
0.405268566810073,-0.4979209080864724,1.2677139863923086,1.8986867618909704,0.6002219437475219,1.79539290310416,-1.4568299936911815,-0.2571709264339222,-1.1281989808892454,0.0617606923876463,0.907133101596735,0.9786702280602606,0.0617606923876463,-1.3452207633079922,0.9407467055618844,0.0539638097720786,-0.240757339351081,POR,OKC,2014-10-29 0:00,2015,1
-1.697162239269846,-0.6281152187424357,-0.299423240341997,-0.4908508513960399,0.7686658942847115,0.1442387533149201,0.6636233663984091,-0.2571709264339222,0.8005498045060435,-0.8863201118087026,0.0342160602764841,-0.0882521519607088,-0.8863201118087026,-1.0929918701877446,0.0407442951682097,-0.5660459195241457,-1.311923467819887,BOS,BKN,2014-10-29 0:00,2015,1
-0.73605101363331,-0.7149114258464112,-1.3997536335809777,0.6292449048322452,2.284661449119425,2.0231383030750885,0.5458204019489878,2.037947181328777,0.3719389633070918,-0.7779680199005508,0.0470846161681832,0.1579607049672071,-0.7779680199005508,-0.9668774236276184,0.0407442951682097,-0.66938087440685,-0.9038601807841514,UTA,HOU,2014-10-29 0:00,2015,0
-2.237787303690397,-2.277243153717968,-0.4994833118399934,1.3013023585692205,0.0106681168673549,1.0552203531986375,-1.692435922590025,-1.6695513004417393,-0.9853287004895948,-2.132369168752478,-0.6799887917128119,-0.7625648412047311,-2.132369168752478,-1.4082779865880553,-0.7127460949288202,-1.4960605134684832,-2.587121239806561,CHA,MIL,2014-10-29 0:00,2015,1
-0.856189916837877,-0.2375322867745459,-0.0993631688440005,-1.0135622043025698,0.5159999684789256,-0.3681883966196698,1.017032259746675,0.802114354071939,0.8005498045060435,-0.7237919739464729,-0.193128427143532,-0.083815884268314,-0.7237919739464729,-0.5570054723072153,-0.1894888795836605,-0.3765985022391889,-0.5978127155073497,PHX,LAL,2014-10-29 0:00,2015,1
-0.856189916837877,-0.8017076329503866,-0.0326764783446683,0.1065335519257153,0.6002219437475219,0.4858568532713147,-1.1034211003429164,2.037947181328777,0.5148092437067424,-0.7237919739464729,-0.7958057947381032,-0.6804938888954257,-0.7237919739464729,0.3888528768937169,-0.8173975379978521,-1.8749553480383987,-0.342773161110015,SAC,GSW,2014-10-29 0:00,2015,0
-0.4957732072241794,-2.103650739510017,0.2007269384029941,-1.5362735572091049,0.7686658942847115,-0.6528701465833313,-0.3966033136463867,1.2434832209493816,1.8720769075034265,-2.186545214706552,-1.9990157706119625,-2.106753952000381,-2.186545214706552,0.6410817700139646,-2.1150754320538483,-1.254945618742174,-2.077042131011891,NYK,CHI,2014-10-29 0:00,2015,0
-0.976328820042444,-0.7583095293983989,0.3341003194016584,0.0318605015104952,0.5159999684789256,0.4289205032785816,1.48824411754436,-0.2571709264339222,-0.1995421582915129,-0.6154398820383172,0.6948019293837011,0.8034376542106627,-0.6154398820383172,-1.8181499379084585,0.7314438194238206,-2.2194051976474123,-0.9038601807841514,MEM,MIN,2014-10-29 0:00,2015,1
-0.1954259492127619,-1.4526791862302029,-0.2327365498426648,1.5999945602300951,0.4317779932103307,1.5107111531404984,-1.5746329581406038,0.2724717138190083,1.3005957859048245,-1.211376387533166,0.0599531720598822,-0.0505438765753523,-1.211376387533166,-1.5028638215081476,0.0616745837820161,-0.9966082315354132,-1.311923467819887,IND,PHI,2014-10-29 0:00,2015,1
